GeneName	ALA_eye_FPKM	ALA_vno_FPKM	ALA_tailA2_FPKM	ALAjuv_tailA2_FPKM	ALAjuv_tailB5_FPKM	ALAjuv_body_FPKM	ATEN_tailA2_FPKM	ATEN_tailB5_FPKM	ATEN_body_FPKM	NSC_vno_FPKM	BRH_vno_FPKM	HMAJ_heart_FPKM	HMAJ_testis_FPKM
NDEL1	124.43	156.16	16.85	231.87	150.81	206.51	56.84	34.33	51.02	77.35	29.51	47.77	42.07
Myh10	10.46	4.37	2.93	7.75	18.63	5.17	24.87	16.4	27	5.9	9.71	9.73	1.97
USP43	0	0	0	0	0	0	0	0	0	0	0	0	0
SMAGP	9.16	104.34	112.08	46.16	37.61	31.92	6.52	46.27	6.12	118.47	44.6	2.41	214.43
ATP5O	1275.23	2695.62	910.52	235.52	202.42	258.64	317.28	517.33	351.75	337.01	123.51	3198.3	642.91
SOX14	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN18	0	0	0	0	0	0	0	0	0	0	0	0	0
Dzip1l	4.66	0.92	1.18	0.56	0.9	0	0	0.21	0.64	6.86	11.47	0.39	0
A4GNT	0.6	0	0	0	0	0	0	0	0	0	0	0	2.52
NDUFB8	527.65	707.82	468.83	305.21	321.04	368.41	172.66	349.72	266.75	378	242.6	1579.82	128.98
HIF1AN	84.67	14	21.97	42.9	17.92	21.06	18	18	28.88	16.73	11.12	37.37	9.17
L345_10007	0.42	0	0	0	0	0	0	0	0	0	0	0	0
L345_10008	1.28	0	0	0	0	0	0	0	0	0	0	0	0
L345_10009	0	0	11.5	0	0	0	0	0	0	0	0	0	0
L345_10012	0	0	0	0	0	0	0	0	0	0	0	0	0
ITSN1	44.2	8.55	3.99	10.02	9.5	8.35	19.05	10.27	29.71	16.35	37.52	6.64	23.41
ZC3H13	0	0	0	0	0	0	0	0	0	0	0	0	0
dotA	0	0	0	0	0	0	0	0	0	0	0	0	0
L345_10013	0	0	0	0	0	0	0	0	0	0	0	0	0
AIG1	34.75	35.53	17.36	30.17	22.79	36.83	55.71	31.08	36.16	41.69	7	36.15	8.24
Adat2	0.8	0.65	0.84	0	0	0	0	0.3	0	3.84	35.7	0	1.79
Pex3	97.79	21.16	66.92	46.24	54.64	59.67	256.28	101.04	121.2	93.55	99.05	40.98	30.28
FUCA2	33.54	30.48	26	29.81	22.44	20.38	16.5	24.59	39.19	44.07	35.63	3.86	10.43
L345_10016	0	0	0	0	0	0	0	0	0	0	0	0	0
PHACTR2	11.69	1.35	3.75	11.88	12.45	7.9	12.25	4.25	11.38	4.96	0	3.31	0.92
Scara3	89.86	0	29.82	11.38	0	0	0	0	0	0	0	0	0
CRYZL1	57.71	49.83	17.26	8.68	0	3.06	4.43	30.58	40.46	15.16	27.46	46.46	7.58
CLU	9743.32	1275.76	120.77	153.95	57.37	136.82	68.09	162.78	144.72	517.58	172.21	600.6	665.23
L345_10023	22.38	1.67	4.29	8.31	0	8.93	10.08	4.3	3.56	8.74	0	2.37	4.56
Stmn4	105.67	223.11	0	1.64	0	10.4	0	0	0	8.09	0	0	16.66
POMC	158.49	0	23.15	53.98	0	26.01	0	39.72	68.94	0	0	0	0
CCDC83	2.53	0	0	1.04	0	0	0	0	0	0	0	0	44.53
Vma21	118.73	13.18	34.15	10.95	0	5.12	0	4.63	0	8	0	30.12	9.04
HMGB1	802.39	131.39	422.28	304	328.4	256.83	334.21	493.88	777.97	799.04	52.82	411.39	213.59
HMGB3	55.78	8.44	19.08	7.27	0	13.65	6.51	8	14.66	7.97	0	14.42	9.63
