gene_id	HMAJ_testis_FPKM	ATEN_tailA2_FPKM	ATEN_tailB5_FPKM	ATEN_body_FPKM	BRH_vno_FPKM	ALAjuv_tailA2_FPKM	ALAjuv_tailB5_FPKM	ALAjuv_body_FPKM	NSC_vno_FPKM	HMAJ_heart_FPKM	ALA_vno_FPKM	ALA_tailA2_FPKM	ALA_eye_FPKM
gene0	42	57	34	51	30	232	151	207	77	48	156	17	124
gene1	2	25	16	27	10	8	19	5	6	10	4	3	10
gene10	0	0	0	0	0	0	0	0	0	0	0	0	0
gene100	214	7	46	6	45	46	38	32	118	2	104	112	9
gene1000	643	317	517	352	124	236	202	259	337	3198	2696	911	1275
gene10000	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10001	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10002	0	0	0	1	11	1	1	0	7	0	1	1	5
gene10003	3	0	0	0	0	0	0	0	0	0	0	0	1
gene10004	129	173	350	267	243	305	321	368	378	1580	708	469	528
gene10005	9	18	18	29	11	43	18	21	17	37	14	22	85
gene10006	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10007	0	0	0	0	0	0	0	0	0	0	0	0	1
gene10008	0	0	0	0	0	0	0	0	0	0	0	12	0
gene10009	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1001	23	19	10	30	38	10	10	8	16	7	9	4	44
gene10010	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10011	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10012	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10013	8	56	31	36	7	30	23	37	42	36	36	17	35
gene10014	2	0	0	0	36	0	0	0	4	0	1	1	1
gene10015	30	256	101	121	99	46	55	60	94	41	21	67	98
gene10016	10	17	25	39	36	30	22	20	44	4	30	26	34
gene10017	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10018	1	12	4	11	0	12	12	8	5	3	1	4	12
gene10019	0	0	0	0	0	11	0	0	0	0	0	30	90
gene1002	8	4	31	40	27	9	0	3	15	46	50	17	58
gene10020	665	68	163	145	172	154	57	137	518	601	1276	121	9743
gene10021	5	10	4	4	0	8	0	9	9	2	2	4	22
gene10022	17	0	0	0	0	2	0	10	8	0	223	0	106
gene10023	0	0	40	69	0	54	0	26	0	0	0	23	158
gene10024	45	0	0	0	0	1	0	0	0	0	0	0	3
gene10025	9	0	5	0	0	11	0	5	8	30	13	34	119
gene10026	214	334	494	778	53	304	328	257	799	411	131	422	802
gene10027	10	7	8	15	0	7	0	14	8	14	8	19	56
gene10028	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10029	5	38	31	26	4	4	7	3	12	19	30	18	25
gene1003	9	34	42	34	0	3	3	0	3	0	7	7	3
gene10030	0	0	1	1	0	1	0	0	0	0	0	0	0
gene10031	334	5	16	16	20	13	15	18	12	1	14	16	0
gene10032	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10033	71	0	0	0	51	0	0	0	4	0	1	0	0
gene10034	3	49	47	43	25	92	66	65	93	0	24	34	25
gene10035	19	0	0	0	5	0	0	0	0	1	0	0	0
gene10036	55	17	72	52	65	72	76	68	74	150	76	92	175
gene10037	1	11	2	4	0	3	1	2	4	4	7	2	10
gene10038	1	0	0	0	0	0	0	1	0	0	4	0	1
