gene0	NDEL1
gene1	Myh10
gene2	CCDC42
gene3	L345_00003
gene4	PIK3R5
gene5	NTN1
gene6	STX8
gene7	Tbc1d24
gene8	WDR16
gene9	L345_00014
gene10	USP43
gene11	USP43
gene12	USP43
gene13	L345_00012
gene14	IIV6-232R
gene15	ARHGAP44
gene16	CYP2C5
gene17	ankrd29
gene18	LAMA3
gene19	LAMA3
gene20	TTC39C
gene21	Cabyr
gene22	OSBPL1A
gene23	IMPACT
gene24	ZNF521
gene25	L345_00026
gene26	MNN4
gene27	SS18
gene28	TAF4B
gene29	zc3h18
gene30	FGF14
gene31	Fgf14
gene32	itgbl1
gene33	HELZ
gene34	CACNG1
gene35	Cacng4
gene36	CCDC88A
gene37	PRORSD1
gene38	MTIF2
gene39	RPS27A
gene40	L345_00046
gene41	Rtn4
gene42	Rtn4
gene43	EML6
gene44	SPTBN1
gene45	SUOX
gene46	CDK2
gene47	PMEL
gene48	Dgka
gene49	WIBG
gene50	Mmp19
gene51	tmem198b
gene52	DNAJC14
gene53	GDF11
gene54	SARNP
gene55	SLC6A5
gene56	Prmt3
gene57	DBX1
gene58	Nav3
gene59	TFAP2B
gene60	TFAP2B
gene61	ROBO2
gene62	L345_00063
gene63	ROBO2
gene64	Robo1
gene65	HEPACAM
gene66	slc37a2
gene67	Tmem218
gene68	PKNOX2
gene69	L345_00070
gene70	Pou3f2
gene71	FBXL4
gene72	L345_00076
gene73	L345_00077
gene74	L345_00082
gene75	L345_00084
gene76	COQ3
gene77	Pnisr
gene78	USP45
gene79	Hsp67Bb
gene80	CCNC
gene81	PRDM13
gene82	PRDM13
gene83	L345_00083
gene84	FMNL3
gene85	TMBIM6
gene86	CCNT1
gene87	L345_00085
gene88	Adcy5
gene89	CACNB3
gene90	DDX23
gene91	RND1
gene92	CCDC65
gene93	Fkbp11
gene94	ARF3
gene95	Wnt10b
gene96	WNT-1
gene97	GALNT6
gene98	BIN2
gene99	Bin2
gene100	SMAGP
gene101	Dazap2
gene102	L345_00104
gene103	L345_00103
gene104	SEC16B
gene105	Sec16b
gene106	FAM5B
gene107	Astn1
gene108	PAPPA2
gene109	Gtf2b
gene110	Pkn2
gene111	L345_00116
gene112	L345_00117
gene113	Extl2
gene114	SLC30A7
gene115	DPH5
gene116	YPR1
gene117	CACNA1C
gene118	DCP1B
gene119	CACNA2D4
gene120	Lrtm2
gene121	CACNA2D3
gene122	ADIPOR2
gene123	WNT5B
gene124	FBXL14
gene125	ERC1
gene126	Rptor
gene127	CHMP6
gene128	Baiap2
gene129	AATK
gene130	Aatk
gene131	L345_00134
gene132	L345_00135
gene133	Aatk
gene134	Aatk
gene135	L345_00136
gene136	AZI1
gene137	L345_00140
gene138	SLC38A10
gene139	SLC38A10
gene140	L345_00143
gene141	L345_00142
gene142	Bahcc1
gene143	pzh1
gene144	ACTG1
gene145	FSCN2
gene146	FAAP100
gene147	L345_00155
gene148	NPLOC4
gene149	TSPAN10
gene150	PDE6G
gene151	L345_00151
gene152	CCDC137
gene153	NINJ2
gene154	B4galnt3
gene155	DSC2
gene156	L345_00168
gene157	DSG2
gene158	TTR
gene159	B4GALT6
gene160	TMEM146
gene161	TRAPPC8
gene162	RNF125
gene163	RNF138
gene164	FAM59A
gene165	RAB10
gene166	KLHL14
gene167	L345_00164
gene168	L345_00169
gene169	LIN28A
gene170	Prdm1
gene171	DHDDS
gene172	HMGN2
gene173	RPS6KA
gene174	Arid1a
gene175	ZDHHC18
gene176	Sfn
gene177	Gpatch3
gene178	Nr0b2
gene179	NUDC
gene180	L345_00182
gene181	TBCD
gene182	L345_00181
gene183	FN3K
gene184	Myocd
gene185	MAP2K4
gene186	TMEM220
gene187	L345_00191
gene188	Myh3
gene189	MYH3
gene190	MYH3
gene191	Gas7
gene192	GLP2R
gene193	gsg1l
gene194	DHRS7C
gene195	Olfr24
gene196	CPN2
gene197	LSM12
gene198	G6pc3
gene199	HDAC5
gene200	L345_00211
gene201	Ccdc47
gene202	DDX42
gene203	PTH2R
gene204	DKK3
gene205	ARL5B
gene206	PLXDC1
gene207	SOX13
gene208	ETNK2
gene209	Ren1
gene210	KISS1
gene211	Golt1a
gene212	Plekha6
gene213	CDKN3
gene214	CNIH
