gene_id	HMAJ_testis_TPM	ATEN_tailA2_TPM	ATEN_tailB5_TPM	ATEN_body_TPM	BRH_vno_TPM	ALAjuv_tailA2_TPM	ALAjuv_tailB5_TPM	ALAjuv_body_TPM	NSC_vno_TPM	HMAJ_heart_TPM	ALA_vno_TPM	ALA_tailA2_TPM	ALA_eye_TPM
gene0	36.02	71.06	34.15	61.8	32.3	266.7	179.16	230.87	76.25	40.66	126.98	15.66	133.49
gene1	1.69	31.1	16.32	32.71	10.63	8.91	22.13	5.78	5.81	8.29	3.55	2.72	11.22
gene10	0	0	0	0	0	0	0	0	0	0	0	0	0
gene100	183.59	8.16	46.02	7.42	48.83	53.09	44.68	35.69	116.79	2.05	84.85	104.16	9.82
gene1000	550.43	396.65	514.61	426.06	135.2	270.9	240.47	289.16	332.25	2722.71	2192.02	846.17	1368.03
gene10000	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10001	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10002	0	0	0.21	0.78	12.55	0.64	1.07	0	6.77	0.33	0.74	1.09	5
gene10003	2.16	0	0	0	0	0	0	0	0	0	0	0	0.64
gene10004	110.42	215.86	347.88	323.11	265.57	351.06	381.39	411.87	372.66	1344.9	575.58	435.69	566.05
gene10005	7.85	22.51	17.9	34.99	12.18	49.34	21.28	23.55	16.49	31.81	11.39	20.42	90.84
gene10006	0	0	0	0	0	0	0	0	0	0	0	0	0.45
gene10007	0	0	0	0	0	0	0	0	0	0	0	0	1.37
gene10008	0	0	0	0	0	0	0	0	0	0	0	10.69	0
gene10009	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1001	20.04	23.81	10.22	35.99	41.07	11.52	11.28	9.33	16.12	5.65	6.96	3.71	47.41
gene10010	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10011	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10012	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10013	7.05	69.65	30.91	43.8	7.66	34.7	27.07	41.17	41.1	30.78	28.9	16.13	37.28
gene10014	1.53	0	0.29	0	39.08	0	0	0	3.78	0	0.53	0.78	0.86
gene10015	25.93	320.4	100.51	146.81	108.43	53.19	64.91	66.71	92.23	34.89	17.21	62.19	104.91
