gene_id	HMAJ_testis_FPKM	ATEN_tailA2_FPKM	ATEN_tailB5_FPKM	ATEN_body_FPKM	BRH_vno_FPKM	ALAjuv_tailA2_FPKM	ALAjuv_tailB5_FPKM	ALAjuv_body_FPKM	NSC_vno_FPKM	HMAJ_heart_FPKM	ALA_vno_FPKM	ALA_tailA2_FPKM	ALA_eye_FPKM
gene0	42.07	56.84	34.33	51.02	29.51	231.87	150.81	206.51	77.35	47.77	156.16	16.85	124.43
gene1	1.97	24.87	16.4	27	9.71	7.75	18.63	5.17	5.9	9.73	4.37	2.93	10.46
gene10	0	0	0	0	0	0	0	0	0	0	0	0	0
gene100	214.43	6.52	46.27	6.12	44.6	46.16	37.61	31.92	118.47	2.41	104.34	112.08	9.16
gene1000	642.91	317.28	517.33	351.75	123.51	235.52	202.42	258.64	337.01	3198.3	2695.62	910.52	1275.23
gene10000	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10001	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10002	0	0	0.21	0.64	11.47	0.56	0.9	0	6.86	0.39	0.92	1.18	4.66
gene10003	2.52	0	0	0	0	0	0	0	0	0	0	0	0.6
gene10004	128.98	172.66	349.72	266.75	242.6	305.21	321.04	368.41	378	1579.82	707.82	468.83	527.65
gene10005	9.17	18	18	28.88	11.12	42.9	17.92	21.06	16.73	37.37	14	21.97	84.67
gene10006	0	0	0	0	0	0	0	0	0	0	0	0	0.42
gene10007	0	0	0	0	0	0	0	0	0	0	0	0	1.28
gene10008	0	0	0	0	0	0	0	0	0	0	0	11.5	0
gene10009	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1001	23.41	19.05	10.27	29.71	37.52	10.02	9.5	8.35	16.35	6.64	8.55	3.99	44.2
gene10010	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10011	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10012	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10013	8.24	55.71	31.08	36.16	7	30.17	22.79	36.83	41.69	36.15	35.53	17.36	34.75
gene10014	1.79	0	0.3	0	35.7	0	0	0	3.84	0	0.65	0.84	0.8
gene10015	30.28	256.28	101.04	121.2	99.05	46.24	54.64	59.67	93.55	40.98	21.16	66.92	97.79
