gene_id	HMAJ_testis_count	ATEN_tailA2_count	ATEN_tailB5_count	ATEN_body_count	BRH_vno_count	ALAjuv_tailA2_count	ALAjuv_tailB5_count	ALAjuv_body_count	NSC_vno_count	HMAJ_heart_count	ALA_vno_count	ALA_tailA2_count	ALA_eye_count
gene0	148	82	180	133	23	926	280	583	188	135	376	63	1207
gene1	31	156	378	308	33	136	151	64	63	123	47	49	443
gene10	0	0	0	0	0	0	0	0	0	0	0	0	0
gene100	222	3	75	5	11	57	22	28	89	2	74	123	28
gene1000	1091	229	1338	455	48	464	187	361	404	4355	3132	1640	6157
gene10000	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10001	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10002	0	0	2	3	16	4	3	0	30	2	4	8	81
gene10003	6	0	0	0	0	0	0	0	0	0	0	0	4
gene10004	129	77	549	211	58	365	182	313	275	1266	485	497	1564
gene10005	22	18	65	52	6	118	23	41	28	72	23	56	568
gene10006	0	0	0	0	0	0	0	0	0	0	0	0	2
gene10007	0	0	0	0	0	0	0	0	0	0	0	0	7
gene10008	0	0	0	0	0	0	0	0	0	0	0	1	0
gene10009	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1001	320	104	206	295	111	153	67	90	152	73	80	58	1629
gene10010	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10011	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10012	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10013	21	59	119	69	4	88	31	76	74	74	62	47	247
gene10014	4	0	1	0	18	0	0	0	6	0	1	2	5
gene10015	92	321	459	274	67	160	88	146	197	100	44	216	823
gene10016	37	24	130	103	28	120	42	58	108	11	74	98	328
gene10017	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10018	9	48	61	81	0	130	63	61	33	26	9	39	309
gene10019	0	0	0	0	0	1	0	0	0	0	0	1	24
gene1002	12	3	74	49	10	16	0	4	17	59	54	29	261
gene10020	2804	117	1019	450	160	734	127	461	1502	2034	3680	541	112676
gene10021	12	11	17	7	0	25	0	19	16	5	3	12	164
gene10022	17	0	0	0	0	2	0	9	6	0	156	0	319
gene10023	0	0	28	25	0	29	0	10	0	0	0	10	218
gene10024	74	0	0	0	0	2	0	0	0	0	0	0	12
gene10025	6	0	5	0	0	9	0	3	4	16	6	24	245
gene10026	71	60	292	238	5	137	73	83	219	109	30	148	935
gene10027	10	3	13	12	0	9	0	12	6	12	6	21	171
gene10028	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10029	18	58	175	71	3	17	13	9	32	56	76	72	258
gene1003	42	62	273	110	0	15	8	1	10	1	21	32	35
gene10030	0	1	5	2	0	3	0	0	0	0	1	0	1
gene10031	1465	9	105	51	19	62	34	64	37	2	43	76	1
gene10032	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10033	165	0	0	0	27	0	0	0	6	0	1	0	0
gene10034	10	63	220	99	17	326	109	163	200	0	52	113	215
gene10035	72	0	0	0	4	0	0	0	0	3	0	0	0
gene10036	49	7	102	37	14	77	39	52	48	107	46	87	466
gene10037	18	70	42	45	0	59	9	32	41	50	76	41	434
gene10038	10	0	1	0	0	2	0	7	0	0	25	0	37
gene10039	1	0	0	0	0	0	0	0	0	0	3	0	1
gene1004	892	587	1373	974	411	941	379	535	911	558	956	557	4021
gene10040	70	0	6	3	0	12	5	6	30	55	9	20	223
gene10041	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10042	7	5	6	8	0	59	19	22	1	4	0	1	7
gene10043	8	0	0	0	0	0	0	0	0	0	0	0	13
gene10044	6	0	0	0	0	0	0	0	0	0	12	0	13
gene10045	279	56	202	81	6	10	8	15	8	19	56	7	21
gene10046	13	12	38	15	0	5	0	0	4	0	0	0	1
gene10047	4	0	0	0	0	0	0	0	0	0	0	0	0
gene10048	4	0	0	0	0	0	0	0	0	1	0	0	8
gene10049	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1005	100	173	643	380	63	268	110	200	94	84	29	351	358
gene10050	169	17	172	22	27	17	0	9	35	115	6	11	5
gene10051	138	30	219	109	23	129	48	50	82	87	42	274	443
gene10052	30	33	97	92	0	34	5	10	9	3	11	25	2
gene10053	0	5	3	0	0	5	0	2	0	2	10	1	17
gene10054	0	0	0	0	0	0	0	0	0	1	0	0	3
gene10055	160	13	43	13	0	105	17	48	34	13	89	45	57
gene10056	95	6	46	4	0	10	0	17	7	63	63	41	72
gene10057	925	0	19	0	39	28	0	15	46	1	34	0	5
gene10058	238	0	12	18	7	36	5	26	53	0	3	0	7
gene10059	4	0	0	0	0	3	5	0	3	0	0	0	1
gene1006	9	0	0	0	0	2	0	0	0	7	0	4	27
gene10060	1	8	0	0	0	1	0	0	0	0	0	0	0
gene10061	12	0	2	0	0	8	0	0	0	0	2	2	0
gene10062	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10063	2	0	0	0	8	12	0	3	7	0	7	26	0
gene10064	157	4	6	38	0	83	4	43	24	2	4	17	113
gene10065	49	106	398	148	44	59	25	74	104	500	272	126	689
gene10066	337	10	86	68	32	83	41	42	47	42	156	110	458
gene10067	64	679	1683	718	71	344	151	261	420	170	392	731	674
gene10068	814	178	482	215	0	225	98	183	90	25	241	123	577
gene10069	1040	56	375	223	36	290	97	141	162	96	35	190	721
gene1007	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10070	45	72	134	79	60	82	39	45	119	65	28	107	393
gene10071	1	0	2	5	0	1	0	0	5	3	2	0	62
gene10072	113	7	31	28	3	48	11	5	45	18	5	34	252
gene10073	137	42	298	197	409	216	76	120	284	58	87	204	1406
gene10074	84	198	561	376	139	262	78	174	191	108	163	282	1288
gene10075	28	322	372	269	23	47	114	64	113	52	76	93	148
gene10076	0	0	7	4	0	1	0	0	4	0	0	6	3
gene10077	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10078	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10079	2	0	0	0	0	3	0	0	14	3	5	0	143
gene1008	110	23	24	13	27	36	10	32	59	8	28	7	148
gene10080	66	283	254	374	6	182	91	166	262	18	12	34	295
gene10081	278	29	160	86	0	36	36	35	57	71	195	147	318
gene10082	362	24	53	20	24	22	10	17	36	79	103	58	237
gene10083	355	594	1549	819	322	516	107	324	606	294	370	202	2237
gene10084	860	21	37	23	14	145	14	68	64	30	14	34	417
gene10085	157	86	239	168	202	334	54	138	246	86	259	142	1611
gene10086	549	0	7	10	0	1	0	4	28	3	25	3	202
gene10087	271	47	179	88	99	70	28	43	103	446	366	122	2608
gene10088	115	15	4	0	0	9	0	3	10	4	1	7	104
gene10089	4	0	0	0	0	0	0	0	0	3	3	2	11
gene1009	1099	28	18	5	21	30	18	14	115	32	111	13	387
gene10090	18	0	0	0	0	0	0	0	0	3	4	7	2
gene10091	1	0	1	0	0	2	0	9	0	1	6	5	20
gene10092	64	4	4	9	0	4	4	2	9	10	75	4	142
gene10093	0	66	0	36	0	0	444	106	0	2	0	0	4
gene10094	3	20	0	4	0	3	134	18	3	223	1	0	1
gene10095	0	0	0	0	0	0	0	0	0	0	0	0	6
gene10096	3	0	0	0	0	7	0	0	3	8	22	1	12
gene10097	4	53	0	6	14	1	348	121	4	938	1	2	212
gene10098	0	0	0	0	63	5	0	0	320	2	83	0	26
gene10099	77	0	0	0	0	0	0	0	0	3	0	0	24
gene101	97	0	102	20	23	136	14	42	159	84	149	178	1144
gene1010	19	0	0	0	0	0	0	0	0	0	0	0	39
gene10100	54	0	15	6	0	2	0	1	0	6	0	10	162
gene10101	7	8	24	14	0	47	8	15	40	2	38	2	12
gene10102	0	3	8	6	0	85	16	30	23	2	3	7	5
gene10103	1	0	9	0	0	3	0	8	16	0	16	2	71
gene10104	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10105	132	18	68	56	7	75	16	63	101	18	26	94	334
gene10106	12	10	38	24	17	24	7	10	25	1	11	21	167
gene10107	0	9	0	0	0	4	0	0	0	0	5	3	7
gene10108	0	0	5	0	0	2	0	0	0	3	18	8	5
gene10109	9	0	0	0	0	0	0	0	3	0	0	0	14
gene1011	119	904	2234	1248	415	1041	401	677	888	338	231	529	3996
gene10110	0	0	0	0	0	0	0	5	0	0	0	0	2.08
gene10111	333	408	255	319	329	641	186	341	588	91	79	144	1175.92
gene10112	2	0	0	0	0	0	0	0	0	1	0	0	1
gene10113	6	3	13	0	0	2	8	5	0	7	1	5	37
gene10114	1	49	143	143	0	41	10	26	4	0	4	8	16
gene10115	32	0	0	0	0	0	0	0	0	0	0	0	3
gene10116	4	17	57	18	24	32	11	36	41	22	9	16	110
gene10117	16	22	182	52	0	79	37	80	16	70	29	68	458
gene10118	4	0	0	0	7	3	0	0	72	10	7	0	33
gene10119	0	3	5	0	69	1	0	0	2360	0	1081	3	10
gene1012	960	4	14	2	6	2	0	0	38	11	23	7	34
gene10120	1	0	3	18	0	7	0	4	5	0	0	1	51
gene10121	34	0	0	0	56	8	0	0	23	3	72	0	47
gene10122	23	7	33	28	9	17	2	14	4	12	10	15	80
gene10123	33	189	425	317	50	754	150	191	349	144	111	182	2116
gene10124	11	8	55	18	22	26	23	27	21	23	76	23	108
gene10125	7	0	0	0	0	23	0	0	3	5	1	1	306
gene10126	70	23	96	103	46	74	63	50	92	49	37	64	650
gene10127	20	0	0	0	0	1	0	0	0	0	0	1	220
gene10128	70	17	80	63	63	61	16	38	46	142	60	52	554
gene10129	0	0	0	0	0	0	0	0	0	0	0	0	3
gene1013	35	175	878	270	66	169	98	109	193	268	257	364	423
gene10130	21	90	336	111	650	553	165	372	4862	11	266	449	487
gene10131	10	0	3	9	11	8	0	0	109	292	63	13	117
gene10132	37	24	94	77	41	150	113	75	230	404	267	41	660
gene10133	16	29	241	84	89	140	43	86	79	84	126	279	275
gene10134	2	10	14	0	5	14	0	4	20	7	3	2	47
gene10135	38	35	74	81	9	175	64	99	111	40	14	55	495
gene10136	0	0	0	0	0	1	0	0	0	0	0	0	4
gene10137	23	129	321	209	188	369	212	222	113	70	208	198	364
gene10138	29	11	73	29	0	10	7	0	10	3	9	24	102
gene10139	42	0	29	6	0	29	0	4	35	43	10	36	85
gene1014	47	26	171	49	45	95	39	51	84	36	11	19	291
gene10140	0	1	0	4	0	6	0	0	7	2	3	5	67
gene10141	109	34	126	41	0	42	18	18	31	92	255	175	347
gene10142	71	157	388	153	8	13	0	13	11	8	35	64	8
gene10143	144	257	681	318	84	280	105	180	236	192	587	271	871
gene10144	71	0	118	45	34	44	13	30	40	79	64	29	447
gene10145	823	415	815	701	251	360	139	277	288	224	198	1407	2337
gene10146	1647	809	2454	997	432	1253	2121	1138	1102	5098	1755	4601	3682.01
gene10147	7	0	19	19	7	7	0	0	5	4	11	5	14
gene10148	32	2	39	30	10	505	31	86	47	4	12	12	652
gene10149	0	0	0	8	0	0	9	0	5	0	0	1	12
gene1015	6	1	0	0	0	0	0	3	0	0	12	0	79
gene10150	0	0	0	14	0	0	0	3	13	0	1	0	15
gene10151	6	57	85	67	40	39	23	9	41	9	3	12	125
gene10152	119	140	411	200	121	78	34	96	161	80	194	185	810
gene10153	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10154	29	6	78	26	78	47	21	54	69	89	92	16	449
gene10155	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10157	3	0	3	0	3	12	2	0	3	4	1	0	26
gene10158	6	35	14	52	0	35	0	14	3	6	1	5	22
gene10159	3	9	19	28	0	49	0	22	7	3	1	1	18
gene1016	6	0	16	27	0	17	0	17	26	35	69	46	459
gene10160	58	10	3	0	0	82	2	33	5	4	6	21	17
gene10161	77	11	71	20	0	5	0	4	53	36	9	14	123
gene10162	8	24	48	36	35	122	37	35	126	17	2	43	605
gene10163	0	0	0	0	0	11	13	0	0	6	1	0	106
gene10164	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10165	45	40	146	120	0	252	34	71	116	26	10	55	418
gene10166	0	0	0	0	0	0	13	0	9	34	0	0	85
gene10167	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10168	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10169	0	0	0	0	0	0	0	0	0	0	1	0	7
gene1017	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10170	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10171	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10172	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10173	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10174	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10175	89	115	405	327	18	306	83	197	292	68	247	217	1025
gene10176	268	337	1057	588	54	157	80	105	166	150	167	107	846
gene10177	4	0	32	53	11	59	1	53	48	41	7	12	75
gene10178	1	0	0	0	0	0	0	0	0	0	4	0	1
gene10179	0	169	1120	419	40	3109	808	1917	229	0	20	276	12
gene1018	3	5	5	9	0	5	0	11	8	15	4	19	235
gene10180	0	0	0	0	0	0	0	0	0	0	0	0	0
