gene_id,experiment,species,seqYear,tissue
HMAJ_testis_count,nonPhoto,Hmajor,yr2014,testis
ATEN_tailA2_count,Photo,Atenuis,yr2016,tailA2
ATEN_tailB5_count,nonPhoto,Atenuis,yr2016,tailB5
ATEN_body_count,Photo,Atenuis,yr2016,body
BRH_vno_count,nonPhoto,Brhin,yr2014,vno
ALAjuv_tailA2_count,Photo,Alaevis,yr2016,tailA2
ALAjuv_tailB5_count,nonPhoto,Alaevis,yr2016,tailB5
ALAjuv_body_count,nonPhoto,Alaevis,yr2016,body
NSC_vno_count,nonPhoto,Nscutatus,yr2016,vno
HMAJ_heart_count,nonPhoto,Hmajor,yr2014,heart
ALA_vno_count,nonPhoto,Alaevis,yr2014,vno
ALA_tailA2_count,Photo,Alaevis,yr2014,tailA2
ALA_eye_count,Photo,Alaevis,yr2014,eye
