"GeneName"	"ALA_tailA2"	"ALAjuv_tailB5"	"ALAjuv_tailA2"	"ALAjuv_body"	"ATEN_tailA2"	"ATEN_tailB5"	"ATEN_body"	"HMAJ_heart"	"HMAJ_testis"	"ALA_eye"	"ALA_vno"	"BRH_vno"	"NSC_vno"
"1"	"GUCY2D"	0	0	0.13	0	0	0	0	0	0.15	58.89	0	0	0
"2"	"RDH8"	22.3	16.41	20.58	38.77	72.02	81.78	90.58	26.03	1.86	327.27	67.15	182.88	5.31
"3"	"LRAT"	35.72	0	17.37	7.11	7.63	10.24	5.97	0	0	910.15	0	0	0
"4"	"GNAT3"	0	0	1.21	0	0	0	0	0	0	0	0	0	0
"5"	"GUCY2F"	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"ARRB2"	94.75	0	59.51	48.56	17.02	112.11	54.07	341.4	142.69	144.86	4233.44	0	84.26
"7"	"L345_18159"	12.42	35.2	53.27	51.31	0	74.4	26.76	43.31	16.74	58.21	291.38	0	42.16
"8"	"RPE65"	0	0	1.88	1.52	0.74	0.2	2.06	0	0.31	1152.48	4.92	0	0
"9"	"RHO"	0	0	0	0	0	0	0	0	0	445.22	0.58	0	0
"10"	"OPN4"	0	0	2.63	2.71	5.97	0.91	0	0	0	11.24	0.4	0	3.15
"11"	"DHRS9"	0.87	204.87	294.85	234.56	0	0.31	0	0.86	428.41	0.59	17.49	15.68	3.68
"12"	"OPN3"	0	0	0	0	0	0.25	0	0	3.36	3.35	0.54	0	9.12
"13"	"GNAT2"	0	0	0	0	0	0	0	0	1.2	992.34	0	10.8	0
"14"	"OPN5"	0	0	0.73	0	0	0	0	0	1.1	16.96	0.4	0	0
"15"	"grk7-a"	0.67	0	1.26	0	0	0	0	0.3	0	73.62	0	0	0
"16"	"L345_06817"	0	0	0	0	0	0	0	0	0	3289.28	0	0	0
"17"	"L345_00724"	0	0	0	0	0	0	0	0	0	9287.37	0	0	0
"18"	"PDE6C"	0	0	0	0.64	0	0	0	0	0	84.68	0	0	0
"19"	"PDE6B"	0	0	0	0	0	0	0	0	0.33	33.53	0	0	0
