Name	NumReads	NumReads	NumReads	NumReads	NumReads	NumReads	NumReads	NumReads	NumReads	NumReads	NumReads	NumReads	NumReads
XM_015809912.1	0.540817	6.35386e-07	0	753.39	928.106	0.337344	413.813	54.1024	212.252	0.000527518	72.0088	245.243	155.283
XM_015809913.1	3	17	9	0	113	0	1	0	0	0	0	0	0
XM_015809914.1	33	41	2	0	2	0	0	0	68	0	0	3	7
XM_015809915.1	1609	128	15	11	45	34	11	16	0	31	20	12	10
XM_015809916.1	2	0	113	4	1	0	5	0	32	0	0	2	18
XM_015809917.1	209	69	131	72	728	84	196	144	251	54	112	154	218
XM_015809918.1	24	56	62	6	397	2	18	10	69	50	49	71	82
XM_015809919.1	106	80	163	207	212	30	199	61	75	48	72	154	76
XM_015809920.1	8	3	3	10	35	0	4	0	0	0	0	5	5
XM_015809921.1	69	81	144	59	200	144	213	170	396	87	69	124	180
XM_015809922.1	78	249	3	0	102	3	0	0	0	0	0	1	29
XM_015809923.1	103	41	809.717	249	388.684	129	450	287.97	78	116	150	278.762	173
XM_015809924.1	55	39	19	18	37	0	18	20	9	3	8	22	13
XM_015809925.1	0	0	0	0	0	0	0	0	61.8328	0	0	0	0
XM_015809926.1	112.366	194.818	338.612	1393.85	2325.52	187.282	25.4147	204.778	509.846	90.6889	83.7411	302.787	283.086
XM_015809927.1	2	0	1	0	0	0	1	0	0	0	0	0	0
XM_015809928.1	12	32	46	9	66	0	20	9	29	25	98	182	50
XM_015809929.1	3	0	42	0	1173	0	0	0	0	0	0	1	4
XM_015809930.1	8	0	22	0	299	14	0	0	0	134	107	17	10
XM_015809931.1	0	0	28	0	10	0	0	0	0	0	0	0	0
XM_015809932.1	199	139	245	60	502	9	81	21	140	53	85	250	205
XM_015809933.1	31	2	28	0	534	0	0	0	0	0	0	1	3
XM_015809934.1	106	15	826	266	2572	548	660	459	1256	594	898	1542	642
XM_015809935.1	55	14	99	62	32	12	116	36	25	29	22	47	39
XM_015809936.1	16	30	123	2	19	5	0	0	215	0	5	36	262
XM_015809937.1	3	0	0	9	27	21	24.7508	14	0	20.7742	12.5372	62	0
XM_015809938.1	452.953	211.577	1217.26	279	660.144	348.168	1143.31	593.093	309	310	525	790	593.856
XM_015809939.1	123	27	47	138	160	321	135	347	40	122	231	700	262
XM_015809940.1	10	2	0	0	23	0	0	0	0	0	0	2	0
XM_015809941.1	15	27	20	51	59	4	32	33	6	13	37	86	20
XM_015809942.1	174	36	12	0	4	8	0	0	0	0	0	0	0
XM_015809943.1	1995	5	2	0	0	0	0	0	0	0	0	0	0
XM_015809944.1	1315	1	2	0	1	0	0	0	0	0	0	0	0
XM_015809945.1	24.6624	0	16.1465	0	0	0	6.68421	0	2444.56	0	0	3	2666.11
XM_015809946.1	4	0	2	0	0	0	0	0	471.161	0	0	0	180.617
XM_015809947.1	0	0	0	0	0	0	0	0	41	0	0	0	0
XM_015809948.1	0	1	9	6	73	0	0	3	4	0	7	19	12
XM_015809949.1	92	47	19	11	102	0	11	10	105	5	6	9	9
XM_015809950.1	1587	889	738	1360	1636	47	327	102	52	29	76	138	186
XM_015809951.1	1162.53	1890.77	3735.43	6365.29	2700.66	517.498	2594.98	605.463	1439	543.028	870.982	1128.36	773.618
XM_015809952.1	1.28052e-06	1.67122e-05	1.28915e-05	6.37847e-06	2.95265e-06	3.24766e-06	4.66805e-06	5.11997e-06	7.06229e-06	1.38829e-05	2.64373e-07	1.91696e-06	1.36031e-06
XM_015809953.1	1093.76	2629.02	4104.32	7996.36	2967.75	320.251	2374.03	522.292	184.503	347.487	582.504	1065.83	1242.22
XM_015809954.1	1093.71	2629.21	4104.26	7996.35	2967.59	320.251	2373.98	522.245	184.497	347.485	582.514	1065.81	1242.16
XM_015809955.1	1	0	4	10	8	11	2	2	0	0	6	9	8
XM_015809956.1	0.000138957	0.000108051	0.00470295	0.00141648	0.000794267	0.000249646	0.000214693	0.000105778	0.00390864	0	0	0.000397042	0.00538762
XM_015809957.1	0.000138954	0.000108051	0.00470283	0.00141648	0.000794267	0.000249646	0.000214693	0.000105778	0.00390858	0	0	0.000397042	0.00539039
XM_015809958.1	15.7919	3.21516	380.144	124.759	72.777	12.2146	16.4691	4.04577	204.754	0	0	35.5398	507.277
XM_015809959.1	3.2078	0.784623	80.8465	26.2381	15.2214	2.78492	3.53051	0.95402	46.238	0	0	7.45939	105.712
XM_015809960.1	37	19	45	53	143	0	18	14	27	49	12	21	13
XM_015809961.1	2298	306	370	290	1646	195	574	285	295	73	168	253	398
XM_015809962.1	251	353	516	553	409	268	500	228	226	81	137	307	472
XM_015809963.1	48	60	40	128	784	214	192	136	140	38	40	90	98
XM_015809964.1	225	90	55	240	1051	355	480	276	191	118	199	358	248
XM_015809965.1	592	261	1298	279	715	381	879	298	190	87	185	200	511
XM_015809966.1	735	753	853	780	2019	657	1079	653	1296	468	531	739	885
XM_015809967.1	13.7531	4	3.74616	17.5231	6.13873	5.8282	17.9591	1	0	7	3.81082	6.8889	12
XM_015809968.1	0	70783.6	0	0	0	0	0	0	0	0	2.95778e-06	0	1.45184e-08
XM_015809969.1	206.244	0	469.554	1808.25	959.822	1134.65	2432.14	1141.87	546.938	346	479.518	743.053	1136.29
XM_015809970.1	279.616	25639.4	913.599	190.243	0	0	0	0	0	0	56.8228	0	14.3079
XM_015809971.1	44.1396	356.001	87.8475	155.507	469.178	273.355	480.86	181.135	106.062	0	186.659	244.947	332.407
XM_015809972.1	321	951	722	99	585	92	512	253	128	100	171	412	138
XM_015809973.1	854	295	434	176	2630	237	455	263	313	151	218	387	323
XM_015809974.1	1078	107	188	52	344	8	89	28	182	7	27	58	107
XM_015809975.1	898	563	955	506	1430	414	1677	849	630	262	533	870	837
XM_015809976.1	280	29	73	92	165	130	114	70	22	15	42	94	102
XM_015809977.1	4	37	53	0	182	20	1	0	58	147	18	1	15
XM_015809978.1	205	1586	606	744	550	116	320	167	117	32	163	548	321
XM_015809979.1	3	6	73	2	194	0	15	12	40	5	3	7	17
XM_015809980.1	72	134	875	195	420	54	158	93	61	90	144	213	52
XM_015809981.1	1221	209	26	60	516	53	83	68	164	5	58	112	181
XM_015809982.1	50	118	56	114	712	78	197	188	6	112	134	317	165
XM_015809983.1	89	14	23	29	203	7	14	38	29	0	12	31	21
XM_015809984.1	5042	365	383	293	693	311	603	371	84	75	89	209	205
XM_015809985.1	174	891	316	620	904	188	793	281	186	243	458	680	207
XM_015809986.1	0	0	0	0	0	0	0	0	547.693	0	0	0	0
XM_015809987.1	1072.21	334.691	400.761	59.608	3.40249e-05	233.663	582.487	318.898	0.0540952	416.999	279.926	212.294	247.717
XM_015809988.1	300	144	4488	393	1677	17	194	72	410.307	25	40	100	1057
XM_015809989.1	3269	93	59	114	496	159	261	318	193	100	198	481	179
XM_015809990.1	159	326	232	312	933	191	542	345	335	161	313	615	297
XM_015809991.1	2	99	77	15	3816	177	141	114	110	24	26	48	227
XM_015809992.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015809993.1	43	22	58	47	177	46	35	17	16	6	52	81	35
XM_015809994.1	1887	141	274	221	315	209	298	176	119	296	366	789	464
XM_015809995.1	523	431	858	474	1369	520	857	436	337	282	493	615	160
XM_015809996.1	109	3770	954	732	654	403	1197	553	385	719	714	1295	374
XM_015809997.1	0	0	0	0	2.43297	0	0	0	0	0	0	0	216.098
XM_015809998.1	0	0	0	0	0	0	0	0	68.1672	0	0	0	0
XM_015809999.1	8.5	1.5	2	3	24.5	0	11.5	3	2.5	13.5	11.5004	35.3333	3
XM_015810000.1	8.5	1.5	2	3	24.5	0	11.5	3	2.5	13.5	11.4996	17.6667	3
XM_015810001.1	59.4535	19.9592	28	198.416	630.125	562.975	130.887	290.249	0	128	121.671	460.998	375.094
XM_015810002.1	178.547	38.0408	0	171.584	49.8751	15.0254	305.113	286.751	220	0	112.329	0.00249177	248.906
XM_015810003.1	52	47	38	75	267	113	144	108	71	55	208	544	114
XM_015810004.1	15	27	46	77	278	8	32	10	83	21	24	132	63
XM_015810005.1	517	20	41	29	65	9	15	9	8	17	19	27.0837	43
XM_015810006.1	2405	269	300	566	422	315	652	447	278	263	344	524	347
XM_015810007.1	282.903	606.678	617.961	920.912	1052.96	393.501	1300.23	441.986	0	176.36	441.577	540.243	247.619
XM_015810008.1	1.0973	4.32151	0.0385239	0.0877246	0.0425926	2.49926	0.769614	3.01379	131	1.64044	3.42273	0.756738	0.380508
XM_015810009.1	43	57	244	239	405	63	266	155	100	80	196	486	113
XM_015810010.1	185	358	263	507	993	233	1042	374	426	211	362	606	533
XM_015810011.1	1977	146	70	138	365	116	250	232	179	109	145	212	153
XM_015810012.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810013.1	19.9184	22	156	176.777	18.5054	11.4066	305.551	92.5445	561	22.6917	123.062	178.341	105.939
XM_015810014.1	33.0816	0	0	37.2225	7.49457	1.59341	19.449	51.4555	0	48.3083	35.9382	101.659	9.06103
XM_015810015.1	369.464	601.583	560.924	974.217	2065.55	659.052	1937.75	1040.18	1827.51	689.958	644.864	1108.19	696.568
XM_015810016.1	0.163289	0.227059	0.0939311	0.0530201	0.111438	0.0264137	0.0776323	0.040722	0.00460191	0	0.035217	0.0257204	0.0136894
XM_015810017.1	663.837	315.773	259.906	151.947	331.889	42.9736	189.922	59.9593	7.9954	0	42.9648	67.9743	36.9863
XM_015810018.1	2725	296	1050	163	1238	20	123	29	220	33	52	78	195
XM_015810019.1	65	71	26	96	253	81	117	115	139	41	77	197	157
XM_015810020.1	53.7637	0	26.8024	273.451	227.3	282	320.144	340.467	0	0	81.1637	145.023	184
XM_015810021.1	271.739	264.446	515.563	692.668	1225.86	381.979	585.764	624.987	372.391	0	382.023	349.219	393.188
XM_015810022.1	204.236	30	288.198	54.5488	80.7002	8.27165e-06	99.8564	4.53336	72	102	32.8363	23.977	0
XM_015810023.1	41	19	57	101	371	87	136	158	72	148	177	404	194
XM_015810024.1	622	15	155	186	152	59	27	141	9	74	76	275	72
XM_015810025.1	58	69	129	91	111	141	213	117	220	39	109	150	204
XM_015810026.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810027.1	449	0	0	1	3	0	0	0	9	0	0	0	0
XM_015810028.1	157	157	226	240	2461	278	480	306	341	87	219	419	685
XM_015810029.1	34.0011	14.1469	53.3014	82.8071	134.717	173.517	115.696	57.5393	165.689	113.058	38.5338	140.416	202.469
XM_015810030.1	114	52	132	121	314	75	177	92	110	16	81	84	245
XM_015810031.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810032.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810033.1	165.297	706.408	236.168	90.0606	371.794	259.031	560.724	372.485	939.021	301.184	229.197	396.359	304.846
XM_015810034.1	7070	9695	24688	12435	29635	2956	11824	3727	4042	2946	4923	8479	5430
XM_015810035.1	35	121	50	5	76	0	12	3	42	3	7	67	70
XM_015810036.1	104	0	6	0	0	0	0	0	208	0	0	0	116
XM_015810037.1	12.7966	19.8243	20.2121	53.3076	208.873	305.453	69.7883	293.296	16.412	41.9842	59.5786	137.18	70.7755
XM_015810038.1	73.1203	13.7384	0	0	0	0	0	0	0	0	0	0	0
XM_015810039.1	580.88	281.262	339	138	520	64	218	54	144	55	16	60	150
XM_015810040.1	738.624	205	154.486	191	246.043	189	319	154	184	87	112	177.275	151.572
XM_015810041.1	146	58	98	207	524	39	84	43	61	36	68	117	86
XM_015810042.1	46	0	1	17	7	0	7	7	3	0	0	1	2
XM_015810043.1	287	396	54	310	617	199	527	425	275	209	250	465	400
XM_015810044.1	5	177	34	8	17	0	12	0	42	0	4	24	5
XM_015810045.1	21	85	59	331	2276	221	449	356	955	341	694	1112	306
XM_015810046.1	118	144	103	9	1157	7	18	0	42	17	47	64	86
XM_015810047.1	1	0	6	3	16.0762	0	0	0	41	0	0	6	7
XM_015810048.1	9491	7145	6291	12350	6308	1593	12828	3600	1393	1984	4237	5312	3374
XM_015810049.1	65	218	117	161	378	22	193	69	51	20	66	62	88
XM_015810050.1	95	26	93	53	113	1	73	9	53	11	5	13	11
XM_015810051.1	4	11	5	9	109	3	24	0	3	0	0	8	11
XM_015810052.1	48.4553	1060	1916	194	550.696	6	342	86	81	9	166	274	214
XM_015810053.1	424	479	391	230	825	26	198	91	383	39	52	96	122
XM_015810054.1	3	0	10	0	0	0	0	0	0	0	0	0	3
XM_015810055.1	550	105	40	10	43	2	5	0	0	0	9	28	7
XM_015810056.1	19	50	14	265	215	85	414	257	0	37	88	206	88
XM_015810057.1	1205	50	180	61	1868	57	174	42	140	19	56	72	614
XM_015810058.1	1500	1270	750	763	563	167	921	453	398	143	190	285	96
XM_015810059.1	8	129	5	25	151	7	21	34	0	17	49	94	12
XM_015810060.1	1298.24	3315.31	1100.24	2227	2313.89	0	221.7	0	70.6943	0.000585105	0.0647844	211.463	0
XM_015810061.1	333	388	550	417	1478.57	22	86	26	443	92	104	178	35.9015
XM_015810062.1	119	1	53	0	42	0	0	0	9	0	5	4	11
XM_015810063.1	49	462	582	36	30	2	34	14	719	0	11	26	3243
XM_015810064.1	443	10	48	198	60	71	106	48	74	68	58	144	89
XM_015810065.1	209	40	49	66	199	48	110	57	104	0	49	78	50
XM_015810066.1	7	2	43	9	13	0	2	0	0	6	18	47	7
XM_015810067.1	7	6	9	2	285	0	0	0	0	0	9	8	0
XM_015810068.1	62	66	18	108	531	95	193	137	0	17	35	84	79
XM_015810069.1	1280	1	14	2	11	0	2	0	13	0	0	8	32
XM_015810070.1	3	23	8	43	73	12	36	25	7	11	6	41	66
XM_015810071.1	9429	22	64	128	117	129	315	124	37	59	83	169	155
XM_015810072.1	31	1	20	51	529	25	7	55	0	33	77	410	2
XM_015810073.1	6	14	4	72	116	10	54	18	27	6	15	41	40
XM_015810074.1	129	81	23	100	720	58	106	61	228	39	86	155	217
XM_015810075.1	2	0	5	0	0	0	0	0	0	0	0	0	0
XM_015810076.1	1697	670	591	345	719	851	2252	899	1050	526	461	758	890
XM_015810077.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810078.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810079.1	0	0	0	0	0	0	0	0	9	0	0	0	0
XM_015810080.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810081.1	0	0	0	0	0	0	0	0	0	0	0	0	3
XM_015810082.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810083.1	0	0	0	0	0	0	0	6	3	0	0	0	0
XM_015810084.1	0	0	0	0	0	0	0	0	10	0	0	0	0
XM_015810085.1	214.644	24.5081	25.5664	61.862	232.071	60.3309	84.5076	62.2117	275	57	56.157	141.844	184.542
XM_015810086.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810087.1	0	0	0	0	0	0	0	0	14	0	0	0	0
XM_015810088.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810089.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810090.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810091.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810092.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810093.1	0	0	0	0	0	0	0	0	0	0	0	0	11
XM_015810094.1	17669.7	2660.99	998.524	3033	2657.51	707.507	2022.02	855.981	538.51	552.001	456.516	734.504	578.935
XM_015810095.1	0	0	0	0	0	0	0	0	23	0	0	0	2
XM_015810096.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810097.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810098.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810099.1	0	0	0	0	0	0	0	0	0	0	0	0	1
XM_015810100.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015810101.1	0	0	0	0	0	0	0	0	0	0	0	0	0
