Name	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM
NM_001287263.1	0	0	0	0	0	0	0	0	0	2.54849e-07	0	0	22.1899
NM_001287264.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287265.1	761.497	131.282	653.475	44.4376	265.723	383.495	290.79	302.842	34.7277	233.96	280.49	201.163	517.764
NM_001287266.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287268.1	2.48066	0	0	1.75337	71.4224	53.0015	18.0165	61.184	94.8933	38.5554	56.9977	33.0096	275.005
NM_001287269.1	0	0	1.42385	0	4.7388	0	0.496323	3.61273	8.12436	3.98836	1.47187	0	4.9427
NM_001287270.1	212.418	1124.02	100.769	2031.83	1146.3	896.367	1429.71	1819.97	433.235	740.089	1196.42	1449.23	977.499
NM_001287271.1	76.5673	20.0254	1.64908	0	0.786878	0	0	0	0	0	0	0	2.88735
NM_001287272.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287274.1	0	0	0	1.50856	0	0	0	10.8914	5.44267	14.0274	0	0	0
NM_001287276.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287278.1	0	0	0.956061	0	0	0	0	0	0	23.8965	0	0	0
NM_001287280.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287282.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287284.1	165.193	217.862	615.225	155.6	200.559	160.617	89.5206	68.2541	155.827	66.931	41.1092	33.983	113.123
NM_001287287.1	11.7283	16.8297	1.0237	4.14601	3.87932	0	0	1.71659	0	0	0	0	0
NM_001287289.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287291.1	97.1304	176.142	42.1777	375.209	422.688	134.05	105.988	99.8844	163.698	15.066	61.0009	82.3073	156.362
NM_001287293.1	50.4644	20.3746	9.87005	0	2.08975	19.6282	0	0.931814	828.754	0	0	1.68922	0
NM_001287295.1	0	0	0	0	0.402688	0	0	0	0	0	0	0	0
NM_001287297.1	6.95183	1.55895	6.28003	13.461	2.87664	49.1603	14.0182	11.9656	14.3653	27.0098	13.3504	6.42297	19.2381
NM_001287299.1	27.8454	39.9605	33.304	10.6229	274.644	408.956	57.0786	127.554	94.2964	97.736	102.72	84.5941	300.019
NM_001287301.1	2533.67	2106.79	5008.57	2148.45	7449.75	3673.65	2716.31	2733.7	3008.42	1015.95	1563.65	1555.65	3022.64
NM_001287303.1	0	0	0	0.331858	0.467019	0	0	0	144.62	0	0	0	0
NM_001287305.1	0	0	0.525159	0	0	0	0	0	0	0	0	0	0
NM_001287307.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287309.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287311.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287313.1	3.98688	0.754772	7.38176	0	13.5502	0	0	0	0	0	0	0	0
NM_001287315.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287317.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287605.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001287606.2	0	0	0	0	2.96992	0	0	0	0	0	0	0	0
NM_001287608.1	0	0	4.15322	0	0	0	0	0	0	0	0	0	0
NM_001290157.1	498.616	137.445	354.935	69.704	535.847	23.0667	3.40281	1.65053	33.3371	0	8.0747	20.9439	51.9254
NM_001290560.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001291759.1	0	0	0	2.01856	0	16.8342	0	0	23.34	33.7575	0	28.3437	0
NM_001293067.1	0	0.890034	0	0.292229	0	0	0	0	0	0	0	0	0
NM_001293068.1	0	0.890034	0	0.292229	0	0	0	0	0	0	0	0	0
NM_001294158.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001317141.1	2.56344	0	10.3488	13.1548	1.69652	65.2453	26.6717	64.6948	37.1661	0	23.9163	16.2602	26.755
NM_001317142.1	1250.98	1.11542	8.64482	0.731852	3.08899	11.6081	0.378392	0.918369	347.418	22.84	0	0.832426	0
NM_001317143.1	0.82747	0	0	1.45836	2.37572	1.78322	17.9397	0	11.4281	15.3331	7.82579	17.0945	66.954
NM_001317144.1	8.24696e-07	0.431569	0	0	0	0	0	0.77149	0	0	0	0	0.838179
NM_001317145.1	3.41579	0	5.22249	22.5184	1.81099	0	42.3011	50.1259	0	29.5045	64.1928	42.504	30.9775
NM_001317146.1	1.1058	0	0.770467	0	0.732128	0	0	0	0	0	0	0	0
XM_006257742.3	0.429853	0.0143121	0.175176	0.225453	0.786728	0.651833	0.136923	0.770957	1.62636	0.748466	0.819367	0.772601	1.09609
XM_006257747.2	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257750.3	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257752.3	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257757.3	20.2404	6.91731	6.03872	8.17221	23.6186	11.1544	9.83385	3.40883	35.785	0	1.38866	18.5386	57.5215
XM_006257762.2	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257765.3	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257778.3	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257781.3	170.336	117.073	280.135	801.274	379.817	156.229	371.801	481.458	194.931	157.493	186.258	196.385	354.236
XM_006257790.3	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257798.3	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257799.3	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257804.3	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_006257806.3	0	0	0	0	0	0	0	0	0	0	0	0	0
