Name	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM
NM_001001127.1	0	0.683371	0	0	0	0	0	0	0	0	0	0	0
NM_001001129.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001131.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001189.1	0	0	0	0	0	0	0	0	10.8404	0	0	0	0
NM_001001192.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001193.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001194.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001195.2	0.50023	0.504654	0.315926	2.28274	0	0	3.0919	9.17346	0	0	1.32218	0.839179	0
NM_001001201.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001203.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001291.2	146.813	9.98772	18.7789	0.661711	126.794	0	7.9342	5.04136	63.5409	6.27504	10.1896	3.21495	57.4759
NM_001001292.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001293.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001294.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001296.5	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001298.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001299.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001300.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001301.1	3.54491	0.595476	0	0	7.23638	0	2.42806	10.8054	0	1.93828	0	0	0
NM_001001302.1	22.1558	0.84282	0	0	0.395672	5.36473	0	4.40239	6.14536	210.708	93.7402	0.352687	0
NM_001001304.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001305.3	224.552	413.621	482.33	142.602	0	1066.17	928.701	1061.37	926.868	469.959	531.933	404.101	610.336
NM_001001310.4	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001311.2	0	0	0	0	0	0	0	15.0259	0	0	0	0	0
NM_001001312.2	0	0	0	0	0	0	0	0	0	14.8056	0	0	0
NM_001001313.2	0	0	0	0	0	0	0	6.74267	0	27.5065	0	0	0
NM_001001314.2	0	0	0	0	0	0	0	0	2.89124	0	0	0	0
NM_001001316.1	0.0531904	0	0	0	13.2116	0	0	0	0	0	24.7143	59.1305	21.8332
NM_001001328.2	39.1703	3.2728	1.36649	4.1846	24.337	0	13.2212	0	0	21.0368	11.312	46.5582	23.2402
NM_001001337.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001339.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001340.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001341.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001460.1	0	0.617965	3.09515	2.89627	0	3.87316	3.14837	9.60735	0	10.0516	17.7729	7.1751	4.98362
NM_001001461.1	0	0	0	0	1.14058	0	0	0	0	0	0	2.01122	0
NM_001001462.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001463.2	10.5419	11.9415	3.4046	1.93236	83.7198	3.15397	4.60893	0	0	0	51.2432	34.1635	32.4293
NM_001001464.1	0	0	0.384704	0.514279	0.574273	0	0.626152	1.59227	2.53278	0	20.8868	40.7717	21.475
NM_001001465.1	2.39352	1.72765	0.865145	0.231837	6.15458	30.5666	4.60067	14.4009	0	12.4522	6.3554	9.80255	5.60378
NM_001001466.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001467.1	0	0	2.06562	32.7209	1280.65	1714.42	2721.64	4277.28	1864.22	2331	3102.88	2984.88	2145.98
NM_001001468.1	7.54068	7.01629	2.56237	1.6642	19.1321	7.33648	3.57686	7.57991	0	0	6.11857	6.79378	0
NM_001001469.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001470.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001471.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001472.2	0	0.768193	0	0	0	0	0	0	0	0	0	0	0
NM_001001473.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001527.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001528.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001529.1	0	0	0	0	0	0	0	0	0	3.84636	0	0	0
NM_001001530.1	0	0	4.51447	5.8045	13.6816	1.94052	23.7508	27.2766	0	10.0721	76.0943	25.6778	0
NM_001001531.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001603.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001604.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001605.3	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001606.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001607.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001608.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001609.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001610.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001611.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001612.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001613.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001614.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001615.1	38.425	351.256	28.2208	0.131469	124.153	0	1.20349	0	53.641	0	0	9.80299	24.3489
NM_001001616.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001733.2	15.9012	7.11239	0	0	6.84015	0	0	0	0	33.3768	0	1.00101	0
NM_001001741.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001742.1	0	0	0.5975	0	2.66477	0	0	0	0	0	0	0	0
NM_001001743.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001744.1	0	0	0	0.70038	4.11592	0	4.79063	0	0	8.56839	10.8448	30.24	0
NM_001001745.1	3.93307	17.1125	5.14761	0.892447	4.6359	0	1.25568	3.19218	35.3853	0	3.71647	0	3.31022
NM_001001746.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001748.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001749.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001751.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001752.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001753.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001754.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001755.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001756.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001757.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001758.1	0	0	0.295798	0	2.65393	0	0	0	0	0	0	0	0
NM_001001759.1	0	0	0	0	20.8645	0	0	0	0	0	0	0	0
NM_001001760.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001761.2	0	0	0	0	0.736399	0	0	0	0	0	0	0	0
NM_001001763.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001764.1	24.3725	122.22	3.99361	1.77283	31.6222	6.57422	1.0739	5.46062	0	0	2.75643	15.7102	67.9597
NM_001001765.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001766.1	0	1.99857	0	0	0	45.7046	0	0	0	0	0	0	5.70419
NM_001001767.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001772.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001773.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001774.1	0	0	0	0	24.7815	0	0	0	0	0	0	0	0
NM_001001775.3	0.398443	0	13.7084	0	216.25	5.49864	0	0	0	0.29062	0	0.908139	1.79872
NM_001001776.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001777.1	0	0	0.963176	0	0	0	1.53972	0	0	0	0	0	0
NM_001001778.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001779.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001780.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001781.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001782.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001783.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001784.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001785.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001858.2	0	0	5.93263	0	0	0	23.2351	0	0	0	0	0	0
NM_001001879.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001897.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001001899.1	0	0	0	0	0	0	0	0	0	0	0	40.0624	0
NM_001001901.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001002242.1	0	0	0	0	0	0	0	0	2.3289	0	0	0	0
NM_001002856.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001003718.1	0	0	0	0	0	6.90892	0	5.28657	0	0	0	0	0
NM_001003797.1	7.05172e-05	0	0	0	0	0	0.459721	1.16914	0	0	0	0	0
NM_001004368.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004369.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004370.1	0.789681	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004371.1	2.70571	9.80959	37.4101	0.957534	44.544	4.33976	4.68351	11.9121	143.46	2.99873	15.018	16.0316	25.342
NM_001004372.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004373.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004374.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004375.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004376.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004377.2	739.122	1558.99	4.47255	0	6.44474	0	0	0	1976.25	0	0	0	0
NM_001004378.2	1831.38	3281.16	1976.76	2024.56	1988.66	3322.83	15554.4	10720.8	8919.37	5115.8	10218.6	9391.53	4490.23
NM_001004379.1	1.64846	4.9295	1.0295	1.91018	0	0	8.212	8.34933	19.7789	0	0	7.99447	4.32792
NM_001004380.1	0	0	0	0	0	11.0928	0	0	3.64519	7.19199	0	0	0
NM_001004381.3	0	0	0	0	0.231865	0	0	0	0	0	0	0	0
NM_001004382.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004383.1	1.06515	6.44524	13.7862	0	55.2656	0	1.53017	0	0	0	0	1.78499	4.33855
NM_001004384.2	5.62206	0	0	1.2359	3.43384	0	0	0	0	0	0	0	0
NM_001004385.1	2.66935	0	0	0	0	1.82098	0	0	0	0	0	4.81778	14.0533
NM_001004386.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004387.1	0	0	0	0	0	0	0	0	6.97449	0	0	0.560687	0
NM_001004388.3	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004389.2	0.715773	0	0	0.1205	0	0	0	0	0	0	0	0	0
NM_001004390.1	952.219	9717.14	4747.05	371.736	9909.88	299.547	3168.08	1430	0	5133.65	34517.5	38143.5	842.991
NM_001004391.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004392.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004393.1	0	0	0	0	0	0	0	10.9457	0	0	0	0	0
NM_001004395.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004396.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004397.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004398.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004399.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004400.2	0	10.7318	6.50548	5.11722	225.45	341.166	175.943	384.245	1659.97	113.961	150.414	241.74	229.904
NM_001004401.1	0	0	0	0	0	0	0	0	0	0	0	1.4243	0
NM_001004402.1	77.2193	101.709	154.14	19.5563	131.497	495.954	176.107	264.747	180.784	266.567	215.864	189.993	317.055
NM_001004403.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004404.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004405.2	1.07642	4.71275	0.226923	0.0608008	2.03871	4.57902	1.48471	0	0	10.6844	7.61806	1.20948	0.979548
NM_001004406.1	0.550169	365.471	0.139211	0.419601	167.307	119.063	0.996558	7.60127	0	536.342	74.1753	4.86081	7.88386
NM_001004407.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004408.2	2.64782	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004409.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004410.1	27.261	17.0332	18.1483	16.2897	30.9111	0	2.2264	11.3246	0	17.8019	18.0874	10.2775	3.91701
NM_001004411.1	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004412.1	0.924662	0	0	2.50223	3.49458	16.1574	2.86085	0	71.4425	0	1.22334	24.0736	533.456
NM_001004413.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004414.2	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004429.3	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004493.3	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004709.3	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001004765.2	0	0	0	0	9.72343	0	0	0	0	0.872597	4.91857	0	0
NM_001004766.1	33.9861	6.07908	55.1924	4.701	45.3759	27.3105	40.9273	38.3304	26.5778	7.38894	7.92665	30.1549	40.7381
NM_001004767.1	0	0	0	0	0	0	0	0	0	0	0	0	0
