Name	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM
XM_015405377.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405378.1	0.176271	0.644805	0.550478	0.133294	1.20636	0.497449	0.231509	0.182206	2.31939	0.43136	0	0	0.715695
XM_015405379.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405380.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405381.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405382.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405383.1	0	0	0	0	0	0	0.957274	0	0	0	0	0.463245	0
XM_015405384.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405385.1	0	0	0.638237	0	0	0	0	0	0	0	0	0	0
XM_015405386.1	5.51991e-07	0	0	0	5.51572e-05	1.06679e-05	0	0	0	3.97995e-06	0	8.42637e-06	0
XM_015405387.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405388.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405389.1	0	0	0	0	2.35482e-08	0	1.19692e-08	0	0	0	0	1.20033e-08	1.24068e-08
XM_015405390.1	0	0	0	0	2.5828	0	0.824513	0	0	0	0	0.957976	0.509798
XM_015405391.1	142.654	0.776382	0.779424	0	0	0	0	0	64.9403	0	0	0	0
XM_015405392.1	0	0	0.311193	0	0.27231	0	0	0	0	0	0	0	0
XM_015405393.1	0.101134	0	0	0	6.73532	1.14074	0	0	0	0.247335	0	0.857313	0
XM_015405394.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405395.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405396.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405397.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405398.1	0	0	0	0	0	0	0	2.44634	8.86631	0	0	4.01125	0
XM_015405399.1	0.670808	0	2.65494	0.507306	1.3456	0	0.117275	1.10749	0	7.53477	8.18321	8.40467	2.17531
XM_015405400.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405401.1	21.4348	0.973997	0.3885	0	1.86778	0	0.48787	4.99068	8.36811	0	3.36294	0.314915	2.01101
XM_015405402.1	7.88944	0.797926	1.8581	0	7.64206	0	0	0	0	0	0	4.28806	2.05439
XM_015405403.1	0.26952	1.12676	1.21579	2.17396	5.41048	3.29562	2.04509	6.87155	7.42986	18.466	24.7958	35.201	6.56544
XM_015405404.1	2.47712	3.36549	1.80841	8.61952	15.3291	8.30904	3.88174	12.2165	0	4.81315	13.3819	27.1366	2.0001
XM_015405405.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405406.1	19.6572	0	0	0	0	0	0	0	0	0	0	0	8.64206
XM_015405407.1	1.36939	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405408.1	0.143236	2.84432	0	0	1.69756	2.82022	0.625832	0.886499	0	2.09765	0.646978	2.42429	0
XM_015405409.1	31.5326	39.762	19.3947	45.6651	151.87	440.354	62.8996	273.131	131.09	213.881	158.591	282.489	250.135
XM_015405410.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405411.1	4.21658	3.52567	3.49358	10.8427	16.1842	35.8886	8.14814	3.49853	3.18425	8.28943	9.5666	25.8418	20.6092
XM_015405412.1	0	0	2.86972	21.7275	3.33325	132.771	74.8526	80.8132	163.645	79.9258	144.155	146.926	94.3707
XM_015405413.1	0.0575868	0	0	0.1567	0.369512	7.50362e-06	4.89105e-06	0.201686	0.477618	0.372074	0.472747	0.00236035	1.94602
XM_015405414.1	0.130575	0	0	0.337388	0.81501	1.63824e-05	1.05784e-05	0.419602	0.997576	0.783607	0.979237	0.005138	4.11971
XM_015405415.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405416.1	0.691689	0	2.22888	4.24922	13.9959	1.56611	7.77723	0.87343	2.0847	0	0	12.4089	7.2511
XM_015405417.1	1.57017	0	5.35198	9.1648	30.9657	3.42531	16.8455	1.81907	4.35885	0	0	27.0481	15.3661
XM_015405418.1	1.52706	0	0	3.37863	8.77565	0.000171063	0.000107375	3.79054	9.1187	7.34329	8.73042	0.0531808	39.2156
XM_015405419.1	3.47061	0	0	7.2907	19.4024	0.000374316	0.000232757	7.90284	19.0866	15.4983	18.1221	0.116029	83.2024
XM_015405420.1	0.402571	2.83298	0	0.128278	0.213642	0.000374316	5.54972e-06	7.90284	19.0866	15.4983	18.1221	0.00383702	0.988452
XM_015405421.1	0.915575	6.42554	0	0.276898	0.472311	0.000819527	1.20374e-05	16.4853	39.972	32.7274	37.6367	0.00837926	2.09696
XM_015405422.1	3.27041e-06	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405423.1	4.68331e-05	0	3.12699	0	0	0	0	0	0	0	0	0	0
XM_015405424.1	10.7414	9.42575	0	7.57793	18.0174	172.927	20.1702	71.8493	175.597	0	0	45.5269	7.78754
XM_015405425.1	0.000111599	0	7.90972	0	0	0	0	0	0	0	0	0	0
XM_015405426.1	0	0.261811	0	0.189501	1.13984	0	0	0	0	0	0	2.1108	0
XM_015405427.1	0.385992	1.61353	0	0	0	0	0	0	0	0	0	0	0
XM_015405428.1	0.86168	0	0	0.912393	2.3555	0	1.2035	4.2617	0	4.20057	15.9427	6.11807	1.86031
XM_015405429.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405430.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405431.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405432.1	0.2914	0.152276	0.151772	0.330571	4.25031	0	0.381924	0	0	0	8.55471	22.6848	4.32927
XM_015405433.1	0	0	0	0	0	0	0	0	0	4.4329	0	0	0
XM_015405434.1	5.04759	0	0.263226	1.33639	0.688974	7.75798	4.39357	3.11113	0	0	8.52001	17.4362	9.50807
XM_015405435.1	0.663466	3.35596	0.691457	0.752648	2.40885	0	0	0	0	0	0	0	1.77739
XM_015405436.1	0	0	0	3.06945e-09	2.69993e-09	0	3.88611e-09	2.48666e-08	0	1.26838e-08	8.91199e-09	1.55273e-08	0
XM_015405437.1	0	0	0.553707	3.21234	5.07059	5.18765	4.15635	9.26523	0	6.44078	2.98533	19.6673	0
XM_015405438.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405439.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405440.1	0	0	0.451797	0.819482	1.97292	0	2.45501	0	0	0	1.46464	0.365645	0
XM_015405441.1	0	0	4.30848e-09	7.72473e-08	1.1603e-07	0	2.20414e-07	0	0	0	3.26855e-07	2.90177e-08	0
XM_015405442.1	21.5961	0.509112	0.338352	0	0.295966	0	0	0	0	0	0	0	0
XM_015405443.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405444.1	1.92138	0.753013	0.500917	1.27172	22.0781	0	0.627433	0	8.96193	0	3.78516	1.21471	6.46579
XM_015405445.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405446.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405447.1	0	0	0	0	5.33492	0	0	0	0	0	0	0	0
XM_015405448.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405449.1	4.96958	1.94741	0.650717	0.470279	5.61772	0	0	0	0	0	1.38183	0	4.94993
XM_015405450.1	0.366818	0.383347	0	0	0	0	0	0	0	0	0	0	24.5775
XM_015405451.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405452.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_015405453.1	0	0	0	0	0	0	0	0	0	0	0	0	0
