Name	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM
XM_015809912.1	0.0630534	7.2973e-08	0	66.2108	80.5778	0.109292	39.4765	12.9033	58.3646	0.000156705	16.4131	36.3788	39.7558
XM_015809913.1	0.397395	2.21932	1.2753	0	11.1383	0	0.108111	0	0	0	0	0	0
XM_015809914.1	1.80062	2.20064	0.116079	0	0.0814876	0	0	0	8.91145	0	0	0.210891	0.84809
XM_015809915.1	166.198	13.0201	1.65385	0.856437	3.46335	9.80606	0.931785	3.38975	0	8.1892	4.04699	1.58126	2.27361
XM_015809916.1	0.0525863	0	3.15396	0.0792574	0.0196581	0	0.109238	0	2.03784	0	0	0.0681398	1.05625
XM_015809917.1	4.93441	1.60137	3.28255	1.28102	12.852	5.7023	3.84687	7.08611	14.3644	3.33539	5.24437	4.71385	11.4923
XM_015809918.1	0.49973	1.14614	1.36987	0.0941469	6.18187	0.119864	0.311722	0.434237	3.48546	2.72588	2.02439	1.91777	3.81433
XM_015809919.1	8.24095	6.12133	13.5019	12.1295	12.2946	6.57328	12.7428	9.77699	13.9091	9.61299	11.009	15.3526	13.0651
XM_015809920.1	2.05519	0.761854	0.831499	1.93802	6.65224	0	0.821791	0	0	0	0	1.59037	2.7529
XM_015809921.1	3.98034	4.59668	8.83782	2.56507	8.6138	23.5843	10.1549	20.2992	54.8148	13.0021	7.85252	9.20971	23.0428
XM_015809922.1	4.19814	13.1829	0.171741	0	4.09949	0.459084	0	0	0	0	0	0.0693515	3.4662
XM_015809923.1	3.44572	1.34858	28.7695	6.27751	9.71852	12.3629	12.4935	20.0391	6.30649	10.1236	9.93698	12.0662	12.8996
XM_015809924.1	4.42401	3.08765	1.62865	1.09127	2.21978	0	1.19197	3.31476	1.72551	0.621139	1.26504	2.26793	2.31109
XM_015809925.1	0	0	0	0	0	0	0	0	30.853	0	0	0	0
XM_015809926.1	9.06565	15.4705	29.1134	84.7583	139.937	42.5385	1.68799	34.0404	98.0376	18.8322	13.2815	31.3063	50.4756
XM_015809927.1	0.226988	0	0.121235	0	0	0	0.0929129	0	0	0	0	0	0
XM_015809928.1	0.422608	1.10809	1.72079	0.238862	1.73711	0	0.584364	0.659071	2.46705	2.29568	6.83258	8.29021	3.92353
XM_015809929.1	0.545386	0	8.19635	0	158.297	0	0	0	0	0	0	0.228365	1.57872
XM_015809930.1	0.276455	0	0.807512	0	7.72228	1.38539	0	0	0	12.0764	7.32091	0.759941	0.770081
XM_015809931.1	0	0	3.73002	0	0.927592	0	0	0	0	0	0	0	0
XM_015809932.1	14.1064	9.69607	18.4949	3.20559	26.5526	1.80255	4.73473	3.07316	23.721	9.69684	11.8627	22.7559	32.1722
XM_015809933.1	0.628227	0.0398388	0.602088	0	8.09304	0	0	0	0	0	0	0.0262917	0.135831
XM_015809934.1	5.34702	0.744241	44.3069	10.1124	96.8969	78.6932	27.5495	47.9968	152.355	77.788	89.466	100.296	71.9612
XM_015809935.1	3.83266	0.96	7.34613	3.25627	1.66399	2.36369	6.66702	5.18022	4.16555	5.21765	3.01886	4.20661	6.01809
XM_015809936.1	0.43849	0.808262	3.57861	0.0413056	0.389289	0.393438	0	0	14.2663	0	0.271606	1.27812	16.0215
XM_015809937.1	0.263307	0	0	0.595384	1.76693	5.17557	1.7862	2.52812	0	4.68357	2.16079	6.96374	0
XM_015809938.1	19.2965	8.86407	55.1126	8.9575	21.0111	42.3473	40.3587	52.4603	31.7288	34.3623	44.2271	43.4647	56.296
XM_015809939.1	2.58988	0.558814	1.05013	2.1897	2.51939	19.4525	2.36407	15.2365	2.0431	6.72539	9.65039	19.119	12.3236
XM_015809940.1	0.62953	0.123876	0	0	1.08078	0	0	0	0	0	0	0.161933	0
XM_015809941.1	0.513867	0.909456	0.727733	1.31667	1.51063	0.392444	0.909657	2.35121	0.496658	1.16155	2.50974	3.81136	1.52691
XM_015809942.1	11.3137	2.30312	0.83057	0	0.194119	1.47286	0	0	0	0	0	0	0
XM_015809943.1	335.317	0.828963	0.360504	0	0	0	0	0	0	0	0	0	0
XM_015809944.1	136.225	0.102016	0.221159	0	0.0771862	0	0	0	0	0	0	0	0
XM_015809945.1	0.461628	0	0.320651	0	0	0	0.104096	0	111.075	0	0	0.072875	111.527
XM_015809946.1	0.0814011	0	0.0431867	0	0	0	0	0	23.2641	0	0	0	8.21194
XM_015809947.1	0	0	0	0	0	0	0	0	16.2356	0	0	0	0
XM_015809948.1	0	0.103525	1.01001	0.475421	5.71734	0	0	0.646595	0.995037	0	1.44112	2.54705	2.77573
XM_015809949.1	7.26349	3.65217	1.5984	0.654565	6.00677	0	0.715155	1.62726	19.7678	1.01654	0.931472	0.910926	1.57085
XM_015809950.1	111.462	61.4415	55.1961	71.9914	85.7402	9.32893	18.9405	14.7914	8.73126	5.25798	10.5101	12.4474	28.9252
XM_015809951.1	99.9813	160.073	342.491	412.615	173.194	125.055	183.56	107.173	294.503	120.024	147.134	124.23	146.902
