Name	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM
XM_020777311.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777312.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777313.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777314.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777315.1	0.718994	0.604013	0.355885	0.12025	0.296959	0.617847	0.178206	0.29266	0.313835	0.325382	0.531518	0.550441	0.550495
XM_020777316.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777317.1	0	0	3.36098e-09	0	0	5.43937e-09	0	0	0	0	0	0	0
XM_020777318.1	0	0	8.159e-09	0	2.15342e-09	1.24422e-08	1.64999e-09	0	0	0	0	0	0
XM_020777319.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777320.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777321.1	0	0	1.16655	0	0.614917	0.504587	0.714541	0	0	0	0	0	0
XM_020777322.1	0	0	3.36098e-09	0	0	5.43937e-09	0	0	0	0	0	0	0
XM_020777323.1	35.8967	1.10019	22.7797	0.459742	8.62159	0	0.424379	0	0	0	0	0.566373	19.8785
XM_020777324.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777325.1	31.3409	23.5883	13.7445	5.2745	13.2039	18.7258	8.55646	11.0194	10.1571	14.2473	22.5404	24.6076	17.2348
XM_020777326.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777327.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777328.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777329.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777330.1	1.36768	0	0	0	0	0	0	0.420174	0	0	0	0	0
XM_020777331.1	6.83531	7.39487	12.5543	7.12489	16.5383	3.71552	6.36815	0	25.1694	0	13.1741	10.3979	10.9523
XM_020777332.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_020777333.1	0	0	0	0	0	0	0	0	0	0	0	0	0
