Name	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM	TPM
NM_001291386.1	0	0	0	2.24672	1624.75	0	0.497261	0	4110.7	0	0	54.6159	3371.09
NM_001291786.2	54.5028	19.4109	17.1064	77.5408	270.604	29.885	52.0776	18.5877	34.4586	50.5514	70.9428	76.898	72.4981
NM_001293087.1	101.182	346.036	73.8251	25.4742	142.849	134.801	97.5511	102.614	115.586	108.74	97.9009	111.171	75.9668
NM_001305094.1	1436.69	1856.35	4869.31	1214.41	4398.72	1510.71	1729.72	1395.46	2787.4	1499.76	1955.34	2179.67	2401.65
NM_001319649.1	0.692402	4.07194	0.166601	0.250798	11.2184	0	1.19489	0	0	0	0	2.14067	5.0578
XM_007419786.1	0.200248	1.75631	0.255131	0.0322452	4.47452	0.362143	0.0522574	0	0	6.2317	0	1.03446	2.14638
XM_007419787.1	0.3382	32.3044	0.840923	0.161121	0	6.49965	0.327164	0.762261	14.5852	13.523	2.21547	1.46385	1.42898
XM_007419789.1	0.599883	0.112846	0	0	0.176985	0	0	0	8.37026	0	1.21105	0	0
XM_007419790.2	0.000125703	0.000112265	3.74664e-05	4.55549e-06	1.84951e-09	0.000110169	6.46084e-05	0.000232288	0	0.000261736	0.000201753	0.000306994	0
XM_007419791.2	8.87902	14.8408	12.73	4.22535	25.8968	0.87726	3.83163	5.52887	0	2.07812	5.74394	6.33255	25.769
XM_007419792.2	12.6528	3365.05	11.7759	3.33105	0.265833	58.1594	9.69527	11.5809	379.713	260.215	52.8927	17.3362	91.0388
XM_007419793.2	11.6115	87.9226	65.697	37.5667	101.871	44.2178	75.1923	84.3186	66.263	42.9432	73.5179	63.1021	93.9927
XM_007419794.2	0.424297	0.498608	0.255616	0.0425599	0.476873	0.67964	0.166254	0.70628	0.27209	1.8888	0.913951	0.534688	0.155409
XM_007419796.2	972.095	0.256755	1.83608	0.131827	0.100612	0	0	0	0	0	0.825027	1.50807	0
XM_007419797.2	10.065	51.3519	95.9361	33.9807	63.7432	177.552	200.387	159.389	878.068	82.1621	104.401	98.2898	356.322
XM_007419798.2	43.7329	9.88014	12.4561	2.8598	26.5572	0	7.28544	6.61558	19.5846	9.30492	16.9988	14.7971	12.9825
XM_007419799.2	0.404027	0.749489	0	0	0	8.71867	0	0	0	0	0	0	0
XM_007419800.2	44.0128	10.443	21.4552	14.1064	48.1091	19.6721	24.363	21.4839	51.4775	23.538	20.514	25.1956	7.6673
XM_007419802.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_007419804.1	40.9068	3.10701	3.64258	2.33816	23.9863	12.7145	6.51609	10.9385	10.5942	11.8192	20.5846	33.7436	25.6642
XM_007419806.1	6.01942	5.51949	6.33058	3.19363	14.5497	17.7121	13.0945	17.007	44.3562	12.122	13.3525	11.9396	32.3224
XM_007419807.2	0	0	6.67945	4.85142	13.2843	13.1549	13.0798	15.1291	22.784	14.57	23.5434	21.9579	12.6323
XM_007419808.2	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_007419809.2	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_007419810.2	15.1747	4.06329	0	0	0	0	0	0	9.51707	0	0	0	0
XM_007419811.2	25.4089	0.597077	3.71097	1.25969	6.47674	5.30564	2.00737	4.87655	69.0965	4.69561	4.29343	3.79674	15.6756
XM_007419814.2	0	0	0	0.400149	0	0	0.720727	0	0	0	0	0	2.34778
XM_007419815.2	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_007419816.2	0.0616095	0.231689	1.41652	6.45779	6.23593	2.30359	2.72916	7.65556	1.08753	7.95613	11.1419	14.7102	15.0241
XM_007419817.2	16.9496	0.142375	7.42158	2.26579	4.5724	0	2.09465	8.00037	3.67178	3.52802	3.34903	5.00625	9.54972
XM_007419818.1	9.55326	0	4.26409	12.1327	3.89179	9.84641	11.8753	22.1347	14.7648	10.8087	16.195	10.5476	7.67547
XM_007419819.1	1.23038	0.712021	0.363177	1.55429	0	0	0	0	11.9472	0	0.574829	0.394565	10.9554
XM_007419820.1	1.12582	0.26506	0	0	130.793	0	0	0	16.1577	0	0	0.380855	0
XM_007419821.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_007419822.2	1.0283	0.113735	0	0.0876533	4.64782	0	0	0	4.05832	0	0.122926	0.67578	0.275752
XM_007419823.2	4.78031	1.34885	1.2624	1.38531	6.96366	0	1.84482	0.906519	5.83684	0	1.20638	1.65478	3.24481
XM_007419824.2	37.1857	28.6812	20.6136	24.6937	42.037	6.17083	14.5697	20.2506	14.05	12.3497	27.6584	33.0776	34.8248
XM_007419825.2	14.4697	13.288	7.11659	8.01486	57.5475	7.32169	7.64672	13.5746	10.0709	15.6246	19.8791	30.9166	48.801
XM_007419826.2	27.267	21.8418	3.69339	13.6294	27.6009	58.0938	21.8444	45.5094	4.07251	24.3736	32.8822	26.698	58.6545
XM_007419827.2	15.5551	9.3762	6.98095	0.742169	122.936	4.39495	2.4585	2.22897	20.7568	4.61443	5.49696	7.77717	58.0654
XM_007419829.1	1658.38	1.85362	0.952986	0	0	0	0	0	0	0	0	0	0
XM_007419832.1	0	0.184176	2.07384	1.6067	1.72831	0	11.6768	6.97749	4.03358	0	21.9402	13.6702	1.31589
XM_007419833.1	0	0	0.441236	1.31254	0.662295	3.30762	3.02961	13.1492	0	11.1049	3.53016	9.58286	3.93813
XM_007419834.1	37.6743	0	7.14574	0	78.2947	0	0	0	0	0	0	0	8.31322
XM_007419835.2	25.4861	0.117141	1.84824	0.075252	1.79704	0	0.121508	0	44.9411	0.908617	0.0635263	0.305877	4.98966
XM_007419836.2	0	0	0	0	0	0	0	0	0.770861	0	0	0	0
XM_007419837.1	0.877822	0.103198	0	0	0.0809566	0	0	0.208366	0	0	0	0	0
XM_007419838.2	8.62919	0.533147	1.12454	0.136987	4.13299	0	0.284074	0.0776761	11.3485	0.536048	0.165032	0.283705	5.18428
XM_007419839.2	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_007419843.2	1.33287	2.55616	0.663753	2.88435	3.5459	2.99642	3.9401	4.89788	2.63964	1.68884	1.5181	3.27943	2.91924
XM_007419844.2	0	0	0.300053	0	0	0	0	0	0	0	0	0	0
XM_007419845.1	0.962764	1.13297	5.57532	2.90577	398.205	0	0.183151	0	0	1.83901	3.35631	7.20645	6.97426
XM_007419846.1	0	0	0	0.0856988	1.83375	0	0	0	0	0	0	0	0
XM_007419849.1	14.0465	12.5479	25.8073	7.6912	50.1095	22.8215	16.9871	26.1677	51.7844	17.9977	25.8465	31.8171	43.9431
XM_007419850.2	26.458	4.83262	19.6859	1.15602	49.7283	0.951028	3.83096	3.22725	0	2.10949	2.79709	3.5361	7.28816
XM_007419851.2	0.320442	0.200911	1.94788	0.0257956	113.255	0	0.57797	0	3.36243	1.25574	0.431907	1.77806	0
XM_007419852.2	0.320442	0	0	0.0257956	0	0	0	0	0	1.25574	0	0	0
XM_007419853.2	3615.71	1986.96	8127.25	8621.91	7442.48	2719.04	6210.25	5050.5	5679.05	5215.15	8683.3	10788.8	5664.15
XM_007419855.2	6.10011	3.47724	15.6284	1.68081	6.80862	9.92074	7.72077	9.94828	9.09303	6.72619	5.61844	8.50484	17.2507
XM_007419856.1	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_007419857.2	60.3147	1.41784	5.09585	0	0	0	2.21739	7.39575e-08	0	4.03857	3.51654	0	0
XM_007419858.1	0	0	0	0	0	0	0	0	0	0	0	0	5.66624
XM_007419860.2	21.9581	17.741	11.5382	8.5874	32.1352	95.3528	41.8677	49.7268	97.4318	32.6518	31.5794	26.547	65.758
XM_007419862.1	0.176809	0.166261	0.169572	0	0.261057	0	0.273944	2.18884	0	0	0	0	0.602415
XM_007419863.1	0	0.815015	0	1.15375	0.0354515	8.36651e-10	0	4.73935	0	6.18082	0	0	0
XM_007419864.1	0	0	0	0	3.83012	0	0	0.000573515	0	15.0042	0	0	0
XM_007419865.1	0.748182	0	23.91	4.12265	3.05841	7.10302	5.52868	0.231444	7.9608	12.3389	15.7009	22.6232	17.4646
XM_007419866.1	1.19284	0	1.21589	15.1894	32.7815	59.6235	29.5539	78.5856	65.8793	143.428	199.421	360.295	80.9484
XM_007419867.2	4.37805	0.638578	1.44483	0.76571	9.26383	2.02812	2.44142	6.58763	10.5784	1.99862	0.999649	2.90848	2.76079
XM_007419868.1	254.69	0.352084	11.7624	0.0452105	5.31998	0	0.0724673	0.534425	53.8377	0	0	0	7.22402
XM_007419869.1	1.43549	0.0499813	5.44796	0	60.8593	0	0	0	38.1694	0	0	0	16.1327
XM_007419870.1	0.122085	0.114831	16.0635	0	38.2678	0	0	0	0	0	0	0	0
XM_007419871.1	0.184373	0	0	0.0890415	0.135733	0	0	0	0	0	0	0	0
XM_007419874.1	0	0.885234	1.88762	0	9.20681e-09	0	1.52542	10.273	14.732	5.83716	0	8.74241	0
XM_007419875.2	11.6037	0	0	2.62095	13.8068	17.9605	0	0	0	0	9.13771	4.59975	15.9378
XM_007419876.1	7.80941	4.77289	19.432	2.5741	20.6046	12.1028	6.80552	13.1626	18.6576	3.21505	5.24662	7.41512	19.5863
XM_007419877.2	5.03398	0.345001	1.07847	0.265968	2.7922	2.40213	1.06403	2.72001	1.11894	1.66985	1.06975	0.331179	1.62057
XM_007419878.1	11.0383	6.21494	23.7789	1.26519	38.8863	0.999146	1.40539	1.31128	18.0509	1.972	2.2808	3.56979	6.5374
XM_007419879.2	1.06637	0.855603	1.61719	0.188458	7.75183	1.68215	0.142092	0.849478	4.44014	0.690237	1.06122	2.33629	2.32216
XM_007419880.2	5.21384	2.25675	0.884113	2.61426	10.1332	8.29287	5.81385	11.7173	10.1953	7.25886	8.61046	9.39262	0
XM_007419881.2	5.36834e-08	3.0457e-08	3.58984e-08	6.92556e-09	1.15383e-07	3.45735e-07	5.44954e-09	2.19561e-08	0	1.65506e-07	1.53428e-08	1.44211e-08	2.28712e-07
XM_007419882.1	0	28.9263	0	0	0	183.592	0	26.4256	0	352.618	34.9424	0	0
XM_007419883.2	5.05183	715.784	2.00677	0.299688	1.46372	772.021	0.0460944	47.9481	0.944947	1577.09	218.154	0.124329	0.135205
XM_007419884.2	4.26214	4.10902	6.31004	7.44348	23.2434	7.53908	5.28159	10.413	9.30819	13.507	12.9905	25.2704	8.24538
XM_007419885.1	10.0502	1.97671	45.1141	1.01617	2.0758	6.34028	1.46385	4.05615	5.85052	4.3641	0	0.65858	0
XM_007419886.1	50.2557	8.62998	69.0292	8.63615	31.8879	26.407	27.5701	19.2859	3.81527	10.3048	39.5835	26.3934	65.3599
XM_007419887.2	1.01513	0	1.3941	0	1.60329	0	0	0	2.01316	0	0	0	1.30832
XM_007419890.2	3.79767	0	0.690309	1.47746	0.702678	0	0	3.25485	0	0	0	1.33761	0
XM_007419891.2	12.2235	0	0.656422	1.30562	16.7008	6.06592	4.33749	7.19354	3.71932	1.17436	1.23253	1.24306	3.59531
XM_007419892.2	10.3035	12.6357	8.7297	26.8123	49.9658	62.4256	55.6413	56.1785	56.7434	27.7746	22.8006	23.7017	21.1915
XM_007419893.1	56.9092	98.0888	463.958	104.124	1027.17	384.464	268.066	160.581	173.929	61.3618	78.71	98.6216	375.686
XM_007419894.2	4.201	3.66941	0.000260022	4.61482	14.6859	4.52656	4.77751	6.8203	0	6.64671	0.000215841	5.91976	5.22774
XM_007419895.2	1.39548	0	3.88558	0	1.66105	0	0	1.53839	15.4483	0	4.8242	0	0
XM_007419896.2	3.74314	6.52219	14.4629	4.8876	21.2402	55.9005	16.1831	18.5367	66.481	5.63637	10.3819	5.31728	29.0041
XM_007419897.2	5.99695	3.33594	8.46849	0.995148	10.8488	0	0.258893	0	0	0	0	0.98333	3.21855
XM_007419898.2	64.7078	21.1778	31.327	38.304	35.4646	43.9555	52.822	31.1804	84.6304	4.73324	24.9729	25.9145	42.9531
