Name	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM
XM_015809912.1	1079	0.0630534	1079	0.648533	1079	7.2973e-08	1079	0	1079	66.2108	1079	0.109292	1079	39.4765	1079	12.9033	1079	80.5778	1079	58.3646	1079	36.3788	1079	0.000156705	1079	16.4131	1079	39.7558
XM_015809913.1	969	0.397395	969	0.332582	969	2.21932	969	1.2753	969	0	969	0	969	0.108111	969	0	969	11.1383	969	0	969	0	969	0	969	0	969	0
XM_015809914.1	2121	1.80062	2121	0.32018	2121	2.20064	2121	0.116079	2121	0	2121	0	2121	0	2121	0	2121	0.0814876	2121	8.91145	2121	0.210891	2121	0	2121	0	2121	0.84809
XM_015809915.1	1197	166.198	1197	0.951401	1197	13.0201	1197	1.65385	1197	0.856437	1197	9.80606	1197	0.931785	1197	3.38975	1197	3.46335	1197	0	1197	1.58126	1197	8.1892	1197	4.04699	1197	2.27361
XM_015809916.1	4227	0.0525863	4227	0	4227	0	4227	3.15396	4227	0.0792574	4227	0	4227	0.109238	4227	0	4227	0.0196581	4227	2.03784	4227	0.0681398	4227	0	4227	0	4227	1.05625
XM_015809917.1	4689	4.93441	4689	0.475333	4689	1.60137	4689	3.28255	4689	1.28102	4689	5.7023	4689	3.84687	4689	7.08611	4689	12.852	4689	14.3644	4689	4.71385	4689	3.33539	4689	5.24437	4689	11.4923
XM_015809918.1	5295	0.49973	5295	0.192151	5295	1.14614	5295	1.36987	5295	0.0941469	5295	0.119864	5295	0.311722	5295	0.434237	5295	6.18187	5295	3.48546	5295	1.91777	5295	2.72588	5295	2.02439	5295	3.81433
XM_015809919.1	1537	8.24095	1537	4.62473	1537	6.12133	1537	13.5019	1537	12.1295	1537	6.57328	1537	12.7428	1537	9.77699	1537	12.2946	1537	13.9091	1537	15.3526	1537	9.61299	1537	11.009	1537	13.0651
XM_015809920.1	578	2.05519	578	0.428968	578	0.761854	578	0.831499	578	1.93802	578	0	578	0.821791	578	0	578	6.65224	578	0	578	1.59037	578	0	578	0	578	2.7529
XM_015809921.1	2015	3.98034	2015	1.93414	2015	4.59668	2015	8.83782	2015	2.56507	2015	23.5843	2015	10.1549	2015	20.2992	2015	8.6138	2015	54.8148	2015	9.20971	2015	13.0021	2015	7.85252	2015	23.0428
XM_015809922.1	2148	4.19814	2148	0.0451188	2148	13.1829	2148	0.171741	2148	0	2148	0.459084	2148	0	2148	0	2148	4.09949	2148	0	2148	0.0693515	2148	0	2148	0	2148	3.4662
XM_015809923.1	3357	3.44572	3357	0.196399	3357	1.34858	3357	28.7695	3357	6.27751	3357	12.3629	3357	12.4935	3357	20.0391	3357	9.71852	3357	6.30649	3357	12.0662	3357	10.1236	3357	9.93698	3357	12.8996
XM_015809924.1	1491	4.42401	1491	2.08903	1491	3.08765	1491	1.62865	1491	1.09127	1491	0	1491	1.19197	1491	3.31476	1491	2.21978	1491	1.72551	1491	2.26793	1491	0.621139	1491	1.26504	1491	2.31109
XM_015809925.1	653	0	653	0	653	0	653	0	653	0	653	0	653	0	653	0	653	0	653	30.853	653	0	653	0	653	0	653	0
XM_015809926.1	1487	9.06565	1487	45.5796	1487	15.4705	1487	29.1134	1487	84.7583	1487	42.5385	1487	1.68799	1487	34.0404	1487	139.937	1487	98.0376	1487	31.3063	1487	18.8322	1487	13.2815	1487	50.4756
XM_015809927.1	1104	0.226988	1104	0	1104	0	1104	0.121235	1104	0	1104	0	1104	0.0929129	1104	0	1104	0	1104	0	1104	0	1104	0	1104	0	1104	0
XM_015809928.1	3197	0.422608	3197	0.767913	3197	1.10809	3197	1.72079	3197	0.238862	3197	0	3197	0.584364	3197	0.659071	3197	1.73711	3197	2.46705	3197	8.29021	3197	2.29568	3197	6.83258	3197	3.92353
XM_015809929.1	750	0.545386	750	0	750	0	750	8.19635	750	0	750	0	750	0	750	0	750	158.297	750	0	750	0.228365	750	0	750	0	750	1.57872
XM_015809930.1	3255	0.276455	3255	0	3255	0	3255	0.807512	3255	0	3255	1.38539	3255	0	3255	0	3255	7.72228	3255	0	3255	0.759941	3255	12.0764	3255	7.32091	3255	0.770081
XM_015809931.1	1020	0	1020	0	1020	0	1020	3.73002	1020	0	1020	0	1020	0	1020	0	1020	0.927592	1020	0	1020	0	1020	0	1020	0	1020	0
XM_015809932.1	1670	14.1064	1670	21.4435	1670	9.69607	1670	18.4949	1670	3.20559	1670	1.80255	1670	4.73473	1670	3.07316	1670	26.5526	1670	23.721	1670	22.7559	1670	9.69684	1670	11.8627	1670	32.1722
XM_015809933.1	5436	0.628227	5436	0.0510043	5436	0.0398388	5436	0.602088	5436	0	5436	0	5436	0	5436	0	5436	8.09304	5436	0	5436	0.0262917	5436	0	5436	0	5436	0.135831
XM_015809934.1	2281	5.34702	2281	2.96028	2281	0.744241	2281	44.3069	2281	10.1124	2281	78.6932	2281	27.5495	2281	47.9968	2281	96.8969	2281	152.355	2281	100.296	2281	77.788	2281	89.466	2281	71.9612
XM_015809935.1	1696	3.83266	1696	4.37962	1696	0.96	1696	7.34613	1696	3.25627	1696	2.36369	1696	6.66702	1696	5.18022	1696	1.66399	1696	4.16555	1696	4.20661	1696	5.21765	1696	3.01886	1696	6.01809
XM_015809936.1	4062	0.43849	4062	0.137928	4062	0.808262	4062	3.57861	4062	0.0413056	4062	0.393438	4062	0	4062	0	4062	0.389289	4062	14.2663	4062	1.27812	4062	0	4062	0.271606	4062	16.0215
XM_015809937.1	1380	0.263307	1380	0	1380	0	1380	0	1380	0.595384	1380	5.17557	1380	1.7862	1380	2.52812	1380	1.76693	1380	0	1380	6.96374	1380	4.68357	1380	2.16079	1380	0
XM_015809938.1	2671	19.2965	2671	5.54881	2671	8.86407	2671	55.1126	2671	8.9575	2671	42.3473	2671	40.3587	2671	52.4603	2671	21.0111	2671	31.7288	2671	43.4647	2671	34.3623	2671	44.2271	2671	56.296
XM_015809939.1	5238	2.58988	5238	0.600588	5238	0.558814	5238	1.05013	5238	2.1897	5238	19.4525	5238	2.36407	5238	15.2365	5238	2.51939	5238	2.0431	5238	19.119	5238	6.72539	5238	9.65039	5238	12.3236
XM_015809940.1	1860	0.62953	1860	0.0527619	1860	0.123876	1860	0	1860	0	1860	0	1860	0	1860	0	1860	1.08078	1860	0	1860	0.161933	1860	0	1860	0	1860	0
XM_015809941.1	3282	0.513867	3282	0.114924	3282	0.909456	3282	0.727733	3282	1.31667	3282	0.392444	3282	0.909657	3282	2.35121	3282	1.51063	3282	0.496658	3282	3.81136	3282	1.16155	3282	2.50974	3282	1.52691
XM_015809942.1	1806	11.3137	1806	0.381449	1806	2.30312	1806	0.83057	1806	0	1806	1.47286	1806	0	1806	0	1806	0.194119	1806	0	1806	0	1806	0	1806	0	1806	0
XM_015809943.1	798	335.317	798	0.281131	798	0.828963	798	0.360504	798	0	798	0	798	0	798	0	798	0	798	0	798	0	798	0	798	0	798	0
XM_015809944.1	1194	136.225	1194	0.0867419	1194	0.102016	1194	0.221159	1194	0	1194	0	1194	0	1194	0	1194	0.0771862	1194	0	1194	0	1194	0	1194	0	1194	0
XM_015809945.1	5872	0.461628	5872	0.219852	5872	0	5872	0.320651	5872	0	5872	0	5872	0.104096	5872	0	5872	0	5872	111.075	5872	0.072875	5872	0	5872	0	5872	111.527
