Name	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM	Length	TPM
XM_015405377.1	729	0	729	0	729	0	729	0	729	0	729	0	729	0	729	0	729	0	729	0	729	0	729	0	729	0
XM_015405378.1	6690	0.176271	6690	0.644805	6690	0.550478	6690	0.133294	6690	0.497449	6690	0.231509	6690	0.182206	6690	1.20636	6690	2.31939	6690	0	6690	0.43136	6690	0	6690	0.715695
XM_015405379.1	3397	0	3397	0	3397	0	3397	0	3397	0	3397	0	3397	0	3397	0	3397	0	3397	0	3397	0	3397	0	3397	0
XM_015405380.1	5979	0	5979	0	5979	0	5979	0	5979	0	5979	0	5979	0	5979	0	5979	0	5979	0	5979	0	5979	0	5979	0
XM_015405381.1	3432	0	3432	0	3432	0	3432	0	3432	0	3432	0	3432	0	3432	0	3432	0	3432	0	3432	0	3432	0	3432	0
XM_015405382.1	1614	0	1614	0	1614	0	1614	0	1614	0	1614	0	1614	0	1614	0	1614	0	1614	0	1614	0	1614	0	1614	0
XM_015405383.1	2248	0	2248	0	2248	0	2248	0	2248	0	2248	0.957274	2248	0	2248	0	2248	0	2248	0.463245	2248	0	2248	0	2248	0
XM_015405384.1	1313	0	1313	0	1313	0	1313	0	1313	0	1313	0	1313	0	1313	0	1313	0	1313	0	1313	0	1313	0	1313	0
XM_015405385.1	1100	0	1100	0	1100	0.638237	1100	0	1100	0	1100	0	1100	0	1100	0	1100	0	1100	0	1100	0	1100	0	1100	0
XM_015405386.1	5910	5.51991e-07	5910	0	5910	0	5910	0	5910	1.06679e-05	5910	0	5910	0	5910	5.51572e-05	5910	0	5910	8.42637e-06	5910	3.97995e-06	5910	0	5910	0
XM_015405387.1	2549	0	2549	0	2549	0	2549	0	2549	0	2549	0	2549	0	2549	0	2549	0	2549	0	2549	0	2549	0	2549	0
XM_015405388.1	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0	1794	0
